Index,Feature,CorrSign,MeanAbsSHAP,DirectionalEffect
32,GRAVY,1.0,0.8737047329174125,0.8737047329174125
31,ASA,-1.0,0.44873867930206174,-0.44873867930206174
12,P,-1.0,0.2780430924665999,-0.2780430924665999
33,AROM,1.0,0.24073489477016283,0.24073489477016283
17,V,1.0,0.23424275287794835,0.23424275287794835
2,D,-1.0,0.18107956121073884,-0.18107956121073884
15,S,-1.0,0.13760993986815118,-0.13760993986815118
0,A,-1.0,0.07953635266037552,-0.07953635266037552
7,I,1.0,0.0747271271824151,0.0747271271824151
19,Y,1.0,0.07447165257977477,0.07447165257977477
18,W,-1.0,0.055799934307064335,-0.055799934307064335
13,Q,1.0,0.052318842343776546,0.052318842343776546
5,G,-1.0,0.04204995551892305,-0.04204995551892305
1,C,1.0,0.034445745489593824,0.034445745489593824
28,SS8_T,-1.0,0.03434164050810918,-0.03434164050810918
11,N,-1.0,0.02305877900173614,-0.02305877900173614
14,R,-1.0,0.020486577208996663,-0.020486577208996663
20,SS3_H,1.0,0.01591297027509718,0.01591297027509718
4,F,1.0,0.013970410333537728,0.013970410333537728
16,T,-1.0,0.013747534296242668,-0.013747534296242668
6,H,1.0,0.012443710090580208,0.012443710090580208
8,K,1.0,0.010879714110042328,0.010879714110042328
9,L,1.0,0.010812295742005795,0.010812295742005795
22,SS3_C,-1.0,0.008399188988372044,-0.008399188988372044
3,E,-1.0,0.008116060269017329,-0.008116060269017329
10,M,-1.0,0.0032708840251494888,-0.0032708840251494888
25,SS8_G,0.0,0.0,0.0
24,SS8_E,0.0,0.0,0.0
23,SS8_H,0.0,0.0,0.0
21,SS3_E,0.0,0.0,0.0
29,SS8_S,0.0,0.0,0.0
27,SS8_B,0.0,0.0,0.0
26,SS8_I,0.0,0.0,0.0
30,SS8_-,0.0,0.0,0.0
