Feature,DirectionalMean_across_runs
GRAVY,0.8656710206672826
ASA,-0.46101863554651273
P,-0.2914466410087937
V,0.2862937242132072
AROM,0.22587449251357042
Q,0.14720622016336024
A,-0.10898417491738985
I,0.10644807633991198
D,-0.10324492148232389
G,-0.0615977287933571
N,0.05937496689450124
S,-0.05068078520566736
R,-0.03450839280006393
H,0.03004279829894683
Y,0.02773319699125778
T,-0.025080574247199082
F,0.019638366527768732
C,0.01901952103586064
SS3_C,-0.01775862261491936
SS8_H,-0.013809391213243616
K,0.012860903158798745
W,-0.010726481291345026
SS8_-,0.006912715926072011
E,-0.0064868277616399045
M,-0.006435143423238111
L,-0.004730914620034614
SS8_T,-0.003434164050810918
SS3_H,-0.00133551339961238
SS3_E,-4.8828945280346946e-05
SS8_E,0.0
SS8_G,0.0
SS8_S,0.0
SS8_I,0.0
SS8_B,0.0
