Index,Feature,CorrSign,MeanAbsSHAP,DirectionalEffect
21,SS3_E,1.0,0.7486558510170847,0.7486558510170847
464,feature_464,-1.0,0.20436102539288356,-0.20436102539288356
63,feature_63,-1.0,0.14606889514895455,-0.14606889514895455
272,feature_272,1.0,0.13520440003941078,0.13520440003941078
440,feature_440,-1.0,0.13372943359280617,-0.13372943359280617
126,feature_126,-1.0,0.12493890365380186,-0.12493890365380186
31,ASA,-1.0,0.1197463373698597,-0.1197463373698597
29,SS8_S,-1.0,0.10383868871248393,-0.10383868871248393
28,SS8_T,-1.0,0.0971507777280547,-0.0971507777280547
343,feature_343,1.0,0.0919499305082734,0.0919499305082734
416,feature_416,1.0,0.0912505363464441,0.0912505363464441
71,feature_71,1.0,0.08626267800085391,0.08626267800085391
184,feature_184,1.0,0.08540727093409507,0.08540727093409507
262,feature_262,1.0,0.07102488513476811,0.07102488513476811
15,S,-1.0,0.06785252992874595,-0.06785252992874595
196,feature_196,-1.0,0.059372280081057334,-0.059372280081057334
421,feature_421,1.0,0.05546131420331931,0.05546131420331931
17,V,1.0,0.055195419901593795,0.055195419901593795
35,feature_35,1.0,0.05505371200213868,0.05505371200213868
12,P,-1.0,0.05417039792971745,-0.05417039792971745
390,feature_390,-1.0,0.05356093356755431,-0.05356093356755431
359,feature_359,-1.0,0.05337711377778004,-0.05337711377778004
456,feature_456,-1.0,0.05298011078118292,-0.05298011078118292
323,feature_323,-1.0,0.050091119384698894,-0.050091119384698894
26,SS8_I,1.0,0.04868627799543928,0.04868627799543928
104,feature_104,1.0,0.045026787663650175,0.045026787663650175
159,feature_159,-1.0,0.04296710342215525,-0.04296710342215525
331,feature_331,-1.0,0.04272833456880261,-0.04272833456880261
167,feature_167,1.0,0.04210310907989015,0.04210310907989015
98,feature_98,1.0,0.04136719454744645,0.04136719454744645
99,feature_99,-1.0,0.04052661099347972,-0.04052661099347972
397,feature_397,-1.0,0.03963704968105266,-0.03963704968105266
14,R,-1.0,0.03859139139399337,-0.03859139139399337
129,feature_129,-1.0,0.03492814051268841,-0.03492814051268841
370,feature_370,1.0,0.03486167387146282,0.03486167387146282
30,SS8_-,-1.0,0.03414813004695603,-0.03414813004695603
297,feature_297,1.0,0.03363455805160465,0.03363455805160465
367,feature_367,-1.0,0.032454410890909696,-0.032454410890909696
64,feature_64,-1.0,0.030444308615620922,-0.030444308615620922
119,feature_119,-1.0,0.029029842255651365,-0.029029842255651365
466,feature_466,1.0,0.02815972812816606,0.02815972812816606
399,feature_399,1.0,0.026359409692923517,0.026359409692923517
304,feature_304,1.0,0.02493295094751509,0.02493295094751509
219,feature_219,-1.0,0.02489048370307556,-0.02489048370307556
428,feature_428,1.0,0.024868544049038526,0.024868544049038526
206,feature_206,-1.0,0.024100358131887788,-0.024100358131887788
171,feature_171,-1.0,0.024086174490311796,-0.024086174490311796
425,feature_425,1.0,0.02386080802256892,0.02386080802256892
439,feature_439,-1.0,0.023497320617242228,-0.023497320617242228
242,feature_242,-1.0,0.023406813800741392,-0.023406813800741392
334,feature_334,-1.0,0.023328861423237996,-0.023328861423237996
160,feature_160,-1.0,0.02331394042387018,-0.02331394042387018
32,GRAVY,1.0,0.022944549347347364,0.022944549347347364
458,feature_458,-1.0,0.022929577549684485,-0.022929577549684485
225,feature_225,1.0,0.022630255500098385,0.022630255500098385
477,feature_477,1.0,0.021722692975407243,0.021722692975407243
66,feature_66,1.0,0.021598430271602097,0.021598430271602097
134,feature_134,1.0,0.021093548064750292,0.021093548064750292
106,feature_106,-1.0,0.021005099408747653,-0.021005099408747653
474,feature_474,1.0,0.020980177812298634,0.020980177812298634
312,feature_312,1.0,0.02084114789362563,0.02084114789362563
34,feature_34,1.0,0.02052313252982354,0.02052313252982354
251,feature_251,1.0,0.02041752367750287,0.02041752367750287
255,feature_255,1.0,0.020404197541239264,0.020404197541239264
