Feature,PosCount,NegCount,TotalCount,DominantCount
SS3_E,10,0,10,10
SS8_T,0,8,8,8
GRAVY,7,0,7,7
SS8_I,6,0,6,6
ASA,0,4,4,4
SS8_S,0,4,4,4
feature_297,4,0,4,4
feature_35,4,0,4,4
feature_416,4,0,4,4
feature_464,0,4,4,4
feature_63,0,4,4,4
feature_126,0,3,3,3
feature_64,0,3,3,3
P,0,2,2,2
feature_106,0,2,2,2
feature_138,0,2,2,2
feature_272,2,0,2,2
feature_343,2,0,2,2
feature_428,2,0,2,2
feature_479,0,2,2,2
R,0,1,1,1
feature_104,1,0,1,1
feature_136,1,0,1,1
feature_176,1,0,1,1
feature_180,0,1,1,1
feature_218,0,1,1,1
feature_262,1,0,1,1
feature_330,0,1,1,1
feature_331,0,1,1,1
feature_339,0,1,1,1
feature_362,1,0,1,1
feature_367,0,1,1,1
feature_397,0,1,1,1
feature_411,1,0,1,1
feature_422,1,0,1,1
feature_440,0,1,1,1
feature_456,0,1,1,1
feature_71,1,0,1,1
feature_93,0,1,1,1
feature_95,1,0,1,1
feature_96,0,1,1,1
