Index,Feature,CorrSign,MeanAbsSHAP,DirectionalEffect
21,SS3_E,1.0,0.646450873989279,0.646450873989279
28,SS8_T,-1.0,0.41365936547269283,-0.41365936547269283
32,GRAVY,1.0,0.39945721815134294,0.39945721815134294
26,SS8_I,1.0,0.39691568726532994,0.39691568726532994
12,P,-1.0,0.16685042677676992,-0.16685042677676992
0,A,-1.0,0.1201675769561215,-0.1201675769561215
11,N,1.0,0.11766356959376435,0.11766356959376435
13,Q,1.0,0.11053631085165126,0.11053631085165126
29,SS8_S,-1.0,0.102330973535333,-0.102330973535333
24,SS8_E,1.0,0.10099150113383148,0.10099150113383148
33,AROM,1.0,0.0998829045361007,0.0998829045361007
14,R,-1.0,0.09773675400724886,-0.09773675400724886
7,I,1.0,0.07456523756573202,0.07456523756573202
25,SS8_G,1.0,0.07233650212981271,0.07233650212981271
30,SS8_-,-1.0,0.07024166165651431,-0.07024166165651431
6,H,1.0,0.0699293637603687,0.0699293637603687
5,G,1.0,0.06266258817602967,0.06266258817602967
2,D,-1.0,0.0617827608496095,-0.0617827608496095
18,W,-1.0,0.06152889520957084,-0.06152889520957084
15,S,-1.0,0.06141237751806145,-0.06141237751806145
10,M,-1.0,0.05731225705864821,-0.05731225705864821
17,V,1.0,0.053396409093526796,0.053396409093526796
1,C,1.0,0.04788569063133845,0.04788569063133845
8,K,-1.0,0.04678003393789296,-0.04678003393789296
27,SS8_B,1.0,0.044008644011015945,0.044008644011015945
4,F,1.0,0.03132985993227287,0.03132985993227287
23,SS8_H,-1.0,0.027048258313513394,-0.027048258313513394
22,SS3_C,-1.0,0.024979984991226948,-0.024979984991226948
19,Y,1.0,0.023253119019296123,0.023253119019296123
16,T,-1.0,0.020110446008156594,-0.020110446008156594
9,L,1.0,0.016917787302959855,0.016917787302959855
20,SS3_H,1.0,0.01558240030915396,0.01558240030915396
3,E,1.0,0.013923691909168267,0.013923691909168267
31,ASA,1.0,0.01109634954525096,0.01109634954525096
