Index,Feature,CorrSign,MeanAbsSHAP,DirectionalEffect
232,feature_232,1.0,0.18773410005680627,0.18773410005680627
1,C,-1.0,0.1526408457726655,-0.1526408457726655
367,feature_367,-1.0,0.1191298843669292,-0.1191298843669292
118,feature_118,-1.0,0.10324037146197033,-0.10324037146197033
233,feature_233,1.0,0.08577250801469026,0.08577250801469026
146,feature_146,1.0,0.06534952752547693,0.06534952752547693
78,feature_78,-1.0,0.0551331068693725,-0.0551331068693725
419,feature_419,-1.0,0.055106703318885966,-0.055106703318885966
224,feature_224,1.0,0.0500894318036889,0.0500894318036889
220,feature_220,-1.0,0.048084871920856725,-0.048084871920856725
383,feature_383,1.0,0.04567031036085538,0.04567031036085538
45,feature_45,1.0,0.04335031084583344,0.04335031084583344
289,feature_289,1.0,0.04259245531382655,0.04259245531382655
87,feature_87,1.0,0.04130376873591355,0.04130376873591355
169,feature_169,1.0,0.03688105529050132,0.03688105529050132
116,feature_116,-1.0,0.03679815334372726,-0.03679815334372726
114,feature_114,-1.0,0.036087816052903496,-0.036087816052903496
427,feature_427,1.0,0.03595557773072435,0.03595557773072435
105,feature_105,1.0,0.032393929555048766,0.032393929555048766
282,feature_282,1.0,0.031977653971966884,0.031977653971966884
181,feature_181,1.0,0.030633601441368407,0.030633601441368407
96,feature_96,-1.0,0.030167656587090898,-0.030167656587090898
360,feature_360,-1.0,0.029932875573901677,-0.029932875573901677
216,feature_216,-1.0,0.028299640331981502,-0.028299640331981502
294,feature_294,1.0,0.028067980908747882,0.028067980908747882
466,feature_466,-1.0,0.027781617411456162,-0.027781617411456162
221,feature_221,-1.0,0.0274005488838372,-0.0274005488838372
361,feature_361,1.0,0.02634951335884947,0.02634951335884947
464,feature_464,1.0,0.026193267408857825,0.026193267408857825
89,feature_89,-1.0,0.024511848838974597,-0.024511848838974597
111,feature_111,1.0,0.023952723079399444,0.023952723079399444
136,feature_136,-1.0,0.02392095297699329,-0.02392095297699329
266,feature_266,-1.0,0.023546128152057505,-0.023546128152057505
316,feature_316,-1.0,0.023025002496091684,-0.023025002496091684
288,feature_288,1.0,0.022611023880559987,0.022611023880559987
15,S,-1.0,0.021575566764263743,-0.021575566764263743
39,feature_39,1.0,0.021289529934818523,0.021289529934818523
214,feature_214,-1.0,0.020580108209817358,-0.020580108209817358
440,feature_440,1.0,0.02013026715806036,0.02013026715806036
334,feature_334,-1.0,0.020105419846632947,-0.020105419846632947
163,feature_163,1.0,0.020000302909786414,0.020000302909786414
57,feature_57,1.0,0.019213585177488685,0.019213585177488685
43,feature_43,-1.0,0.01816743550439837,-0.01816743550439837
373,feature_373,1.0,0.018150364476163347,0.018150364476163347
396,feature_396,-1.0,0.018084842838659413,-0.018084842838659413
390,feature_390,-1.0,0.018015418019750516,-0.018015418019750516
205,feature_205,1.0,0.01780762896547659,0.01780762896547659
126,feature_126,-1.0,0.017716282494087528,-0.017716282494087528
406,feature_406,-1.0,0.01744012721991338,-0.01744012721991338
188,feature_188,1.0,0.01710208334174666,0.01710208334174666
203,feature_203,1.0,0.016814609449026626,0.016814609449026626
447,feature_447,-1.0,0.016743197178817087,-0.016743197178817087
11,N,1.0,0.01673512530349388,0.01673512530349388
5,G,1.0,0.0157219034709506,0.0157219034709506
177,feature_177,-1.0,0.01545722332979255,-0.01545722332979255
160,feature_160,-1.0,0.015452597093268685,-0.015452597093268685
31,ASA,-1.0,0.014811688705119834,-0.014811688705119834
157,feature_157,1.0,0.014405375624433435,0.014405375624433435
101,feature_101,1.0,0.014397561744135128,0.014397561744135128
