Index,Feature,CorrSign,MeanAbsSHAP,DirectionalEffect
1,C,-1.0,0.35580757342548414,-0.35580757342548414
6,H,-1.0,0.15040103998579074,-0.15040103998579074
15,S,-1.0,0.15037121765274844,-0.15037121765274844
2,D,1.0,0.12782083678623435,0.12782083678623435
11,N,1.0,0.1169076277655341,0.1169076277655341
0,A,1.0,0.09397768537528858,0.09397768537528858
18,W,-1.0,0.09008057192520462,-0.09008057192520462
5,G,1.0,0.08722819403366348,0.08722819403366348
8,K,1.0,0.08162860701566917,0.08162860701566917
17,V,1.0,0.07336628348029871,0.07336628348029871
31,ASA,-1.0,0.0473506407479088,-0.0473506407479088
3,E,1.0,0.04344629613454037,0.04344629613454037
28,SS8_T,-1.0,0.03991479623784484,-0.03991479623784484
9,L,-1.0,0.03746713945390998,-0.03746713945390998
26,SS8_I,1.0,0.03719967326483971,0.03719967326483971
13,Q,-1.0,0.03566686835288694,-0.03566686835288694
25,SS8_G,-1.0,0.034067345153879276,-0.034067345153879276
32,GRAVY,1.0,0.03171484280776014,0.03171484280776014
21,SS3_E,1.0,0.03111648788238294,0.03111648788238294
23,SS8_H,-1.0,0.028103452444333626,-0.028103452444333626
29,SS8_S,-1.0,0.026218456566553756,-0.026218456566553756
30,SS8_-,-1.0,0.025107331287514356,-0.025107331287514356
7,I,1.0,0.024713730699410574,0.024713730699410574
19,Y,-1.0,0.023772245758217708,-0.023772245758217708
33,AROM,-1.0,0.02288314763687631,-0.02288314763687631
24,SS8_E,1.0,0.01965940451835936,0.01965940451835936
27,SS8_B,-1.0,0.018944209243540403,-0.018944209243540403
22,SS3_C,-1.0,0.01360387869035522,-0.01360387869035522
4,F,1.0,0.012946646082557151,0.012946646082557151
16,T,1.0,0.011446227016097568,0.011446227016097568
12,P,-1.0,0.01058398366462533,-0.01058398366462533
14,R,-1.0,0.006382777590783127,-0.006382777590783127
10,M,-1.0,0.006055737507985145,-0.006055737507985145
20,SS3_H,1.0,0.0030279421360187853,0.0030279421360187853
