Feature,DirectionalMean_across_runs
C,-0.35543824038816774
H,-0.17226846987678135
D,0.15803284827373215
S,-0.1570691401340451
N,0.09985718322981964
K,0.09980217564875134
A,0.09441666688330685
G,0.08940312385511778
L,-0.08504949816956103
SS3_C,-0.06715246557730298
V,0.06543867717801388
W,-0.06487033220656899
ASA,-0.05988952491035819
SS8_I,0.05380340642494894
SS8_G,-0.04442192832629795
E,0.03924963712992154
F,0.03880744373307657
SS8_-,-0.03720535804160645
SS3_E,0.03408823056045076
I,0.029203031429460135
GRAVY,0.027850629249358487
Q,-0.02723574748757445
SS8_E,0.026270926859045102
SS8_S,-0.02214986033241867
SS8_T,-0.02095383274328226
M,-0.019965591592987518
P,-0.013798699246471572
SS8_B,-0.010600739442357043
Y,0.00788138048720657
AROM,-0.006658187102158951
SS3_H,0.005570477714156742
R,-0.005023891138688973
SS8_H,0.000805589183599879
T,0.00023432442040543226
