Index,Feature,CorrSign,MeanAbsSHAP,DirectionalEffect
32,GRAVY,1.0,0.9715900643110643,0.9715900643110643
26,SS8_I,1.0,0.5937116577590652,0.5937116577590652
28,SS8_T,-1.0,0.4465550296938129,-0.4465550296938129
18,W,1.0,0.3647392341472962,0.3647392341472962
7,I,1.0,0.24859176173400635,0.24859176173400635
4,F,1.0,0.17279048066830016,0.17279048066830016
31,ASA,1.0,0.12818231026033614,0.12818231026033614
16,T,1.0,0.12735339070822294,0.12735339070822294
22,SS3_C,-1.0,0.12392781171208328,-0.12392781171208328
8,K,-1.0,0.12260952186930082,-0.12260952186930082
25,SS8_G,-1.0,0.11991585396114053,-0.11991585396114053
17,V,1.0,0.11938003498357737,0.11938003498357737
23,SS8_H,1.0,0.105724264150249,0.105724264150249
5,G,1.0,0.09921339121035855,0.09921339121035855
12,P,1.0,0.09038268184747239,0.09038268184747239
20,SS3_H,1.0,0.09009803602033989,0.09009803602033989
1,C,-1.0,0.0888508408780831,-0.0888508408780831
33,AROM,1.0,0.08731311662166087,0.08731311662166087
9,L,1.0,0.08581789903500518,0.08581789903500518
15,S,-1.0,0.060131000535224695,-0.060131000535224695
30,SS8_-,-1.0,0.047698093211683355,-0.047698093211683355
29,SS8_S,-1.0,0.0412228410866524,-0.0412228410866524
10,M,1.0,0.03864109551514869,0.03864109551514869
2,D,-1.0,0.035327820687312265,-0.035327820687312265
21,SS3_E,-1.0,0.033378786974308426,-0.033378786974308426
6,H,-1.0,0.03248683320378281,-0.03248683320378281
24,SS8_E,-1.0,0.029773488738285496,-0.029773488738285496
0,A,-1.0,0.029018481408785365,-0.029018481408785365
19,Y,1.0,0.02720906003085225,0.02720906003085225
3,E,-1.0,0.026556009010462376,-0.026556009010462376
14,R,1.0,0.024047145550478093,0.024047145550478093
11,N,-1.0,0.022365135035165278,-0.022365135035165278
27,SS8_B,-1.0,0.019987102682416127,-0.019987102682416127
13,Q,1.0,0.015996720021250098,0.015996720021250098
