Feature,DirectionalMean_across_runs
GRAVY,0.9324782298347498
SS8_I,0.6477641311124605
SS8_T,-0.4065497602907876
W,0.2818100900492446
I,0.20783301212546662
SS3_H,0.17484176409382252
AROM,0.17128081666811634
SS3_C,-0.14474714645878248
L,0.13999634067776762
SS8_G,-0.1307368604614312
SS8_H,0.1298557973693227
K,-0.1253507940023404
ASA,0.12149654571952986
F,0.11844752656767013
V,0.0991249426094845
G,0.0947606626030831
C,-0.0830631967964813
S,-0.0826937093300974
P,0.07466043697541844
M,0.049386056603154004
D,-0.044274236010727885
Q,-0.0411208242717612
N,-0.03891501027357675
T,0.03160528881182057
E,-0.024802771525667594
SS3_E,-0.022398202046922666
Y,0.021335341095388868
R,0.015978121997855387
SS8_B,-0.015439591165698222
H,-0.01295309739168487
SS8_E,-0.01269952051837322
A,-0.012669494552101793
SS8_-,-0.009383324900370046
SS8_S,0.008031450515510305
