Index,Feature,CorrSign,MeanAbsSHAP,DirectionalEffect
32,GRAVY,1.0,1.043122643010574,1.043122643010574
20,SS3_H,1.0,0.33373537381830265,0.33373537381830265
22,SS3_C,1.0,0.2573446075066512,0.2573446075066512
12,P,1.0,0.22137873195035354,0.22137873195035354
139,feature_139,-1.0,0.186888319657209,-0.186888319657209
66,feature_66,1.0,0.17822616401622074,0.17822616401622074
26,SS8_I,1.0,0.17088651855496115,0.17088651855496115
51,feature_51,-1.0,0.16328694278376663,-0.16328694278376663
422,feature_422,1.0,0.11866838366794256,0.11866838366794256
181,feature_181,1.0,0.118493741492385,0.118493741492385
258,feature_258,-1.0,0.11337717714681896,-0.11337717714681896
4,F,1.0,0.09012978543948123,0.09012978543948123
168,feature_168,-1.0,0.08212395070011184,-0.08212395070011184
120,feature_120,1.0,0.08043646567873625,0.08043646567873625
33,AROM,1.0,0.07843037157503638,0.07843037157503638
187,feature_187,-1.0,0.07516694928692778,-0.07516694928692778
236,feature_236,1.0,0.07049257724907669,0.07049257724907669
430,feature_430,1.0,0.06867050653734459,0.06867050653734459
204,feature_204,-1.0,0.06193812358709206,-0.06193812358709206
72,feature_72,1.0,0.055880396353012965,0.055880396353012965
473,feature_473,-1.0,0.05436175744332924,-0.05436175744332924
80,feature_80,1.0,0.05057440662793247,0.05057440662793247
23,SS8_H,1.0,0.04708227791903186,0.04708227791903186
267,feature_267,1.0,0.046165632331840886,0.046165632331840886
30,SS8_-,-1.0,0.043816322352044246,-0.043816322352044246
63,feature_63,1.0,0.043551679854808276,0.043551679854808276
183,feature_183,-1.0,0.04289567889658911,-0.04289567889658911
231,feature_231,-1.0,0.041069732449751775,-0.041069732449751775
216,feature_216,-1.0,0.04076950807179515,-0.04076950807179515
289,feature_289,1.0,0.03862054705447411,0.03862054705447411
5,G,1.0,0.03665117836920801,0.03665117836920801
155,feature_155,-1.0,0.035767632977024476,-0.035767632977024476
455,feature_455,-1.0,0.03441694789079817,-0.03441694789079817
278,feature_278,1.0,0.034146802834925515,0.034146802834925515
466,feature_466,-1.0,0.03398785913870999,-0.03398785913870999
454,feature_454,1.0,0.03167765587413779,0.03167765587413779
450,feature_450,-1.0,0.030250705336151266,-0.030250705336151266
317,feature_317,1.0,0.028051913350767788,0.028051913350767788
13,Q,-1.0,0.02586294222104105,-0.02586294222104105
437,feature_437,-1.0,0.025406670875572662,-0.025406670875572662
346,feature_346,-1.0,0.023366172683163756,-0.023366172683163756
254,feature_254,1.0,0.023120756420807458,0.023120756420807458
413,feature_413,1.0,0.019969742079036047,0.019969742079036047
251,feature_251,-1.0,0.019574318556817016,-0.019574318556817016
85,feature_85,1.0,0.018807440726728176,0.018807440726728176
44,feature_44,-1.0,0.018616374463332,-0.018616374463332
57,feature_57,-1.0,0.018467413228566293,-0.018467413228566293
352,feature_352,-1.0,0.017751153965497857,-0.017751153965497857
229,feature_229,1.0,0.01726824373122088,0.01726824373122088
230,feature_230,-1.0,0.017219311210808948,-0.017219311210808948
190,feature_190,-1.0,0.017007466363119842,-0.017007466363119842
396,feature_396,-1.0,0.016601029786511946,-0.016601029786511946
362,feature_362,1.0,0.015967145023751718,0.015967145023751718
112,feature_112,1.0,0.015869289814545908,0.015869289814545908
94,feature_94,-1.0,0.015824907547838028,-0.015824907547838028
263,feature_263,-1.0,0.014792610896285389,-0.014792610896285389
180,feature_180,1.0,0.014736810790822653,0.014736810790822653
9,L,1.0,0.014286951254330344,0.014286951254330344
225,feature_225,-1.0,0.014157863013720375,-0.014157863013720375
372,feature_372,-1.0,0.013636718581685933,-0.013636718581685933
401,feature_401,-1.0,0.013573788217192727,-0.013573788217192727
412,feature_412,-1.0,0.013374203957482782,-0.013374203957482782
16,T,1.0,0.013352722140089588,0.013352722140089588
379,feature_379,-1.0,0.013128139409757038,-0.013128139409757038
226,feature_226,1.0,0.013123163073628,0.013123163073628
11,N,1.0,0.013013317561387553,0.013013317561387553
125,feature_125,-1.0,0.012897065602872732,-0.012897065602872732
324,feature_324,1.0,0.012743862678236165,0.012743862678236165
70,feature_70,-1.0,0.012680862528455619,-0.012680862528455619
375,feature_375,-1.0,0.012610140799789078,-0.012610140799789078
19,Y,1.0,0.012183909876659387,0.012183909876659387
395,feature_395,1.0,0.011950800054581226,0.011950800054581226
98,feature_98,1.0,0.011708617530605736,0.011708617530605736
93,feature_93,1.0,0.011426839596606219,0.011426839596606219
249,feature_249,-1.0,0.011387691384171367,-0.011387691384171367
210,feature_210,-1.0,0.011359459713977256,-0.011359459713977256
354,feature_354,1.0,0.011058464445193655,0.011058464445193655
303,feature_303,-1.0,0.010218549491164686,-0.010218549491164686
339,feature_339,1.0,0.010007649270969747,0.010007649270969747
69,feature_69,1.0,0.009863980022921059,0.009863980022921059
344,feature_344,-1.0,0.009068189162508747,-0.009068189162508747
304,feature_304,-1.0,0.008993687397034862,-0.008993687397034862
287,feature_287,-1.0,0.008729306359518517,-0.008729306359518517
89,feature_89,1.0,0.008664357591974231,0.008664357591974231
335,feature_335,-1.0,0.008660115935837825,-0.008660115935837825
328,feature_328,-1.0,0.008570508456377563,-0.008570508456377563
274,feature_274,1.0,0.008543501877008948,0.008543501877008948
55,feature_55,1.0,0.008528981693463623,0.008528981693463623
129,feature_129,1.0,0.008524963436737672,0.008524963436737672
49,feature_49,-1.0,0.008422879140361815,-0.008422879140361815
250,feature_250,-1.0,0.00825965849490657,-0.00825965849490657
149,feature_149,-1.0,0.008139865318325992,-0.008139865318325992
47,feature_47,1.0,0.008136095110388169,0.008136095110388169
136,feature_136,-1.0,0.008105711155734406,-0.008105711155734406
196,feature_196,-1.0,0.00799499669455558,-0.00799499669455558
144,feature_144,1.0,0.0075064292378881695,0.0075064292378881695
237,feature_237,1.0,0.007380200747243545,0.007380200747243545
420,feature_420,-1.0,0.007328786233910092,-0.007328786233910092
189,feature_189,-1.0,0.007257717953839616,-0.007257717953839616
459,feature_459,1.0,0.0072405965853751374,0.0072405965853751374
192,feature_192,-1.0,0.006989231955526841,-0.006989231955526841
97,feature_97,-1.0,0.0068950406367879954,-0.0068950406367879954
109,feature_109,-1.0,0.006759419985255079,-0.006759419985255079
408,feature_408,-1.0,0.0063072410833832715,-0.0063072410833832715
411,feature_411,1.0,0.00623632387164297,0.00623632387164297
320,feature_320,1.0,0.006211211993394993,0.006211211993394993
203,feature_203,-1.0,0.006207139473366354,-0.006207139473366354
45,feature_45,1.0,0.006068540869394489,0.006068540869394489
428,feature_428,-1.0,0.0060439000521280055,-0.0060439000521280055
295,feature_295,1.0,0.006017013866503044,0.006017013866503044
281,feature_281,1.0,0.005959005544562205,0.005959005544562205
161,feature_161,1.0,0.005958507576689591,0.005958507576689591
367,feature_367,1.0,0.005781883475587083,0.005781883475587083
340,feature_340,-1.0,0.005670663220757045,-0.005670663220757045
277,feature_277,-1.0,0.0055011150626183055,-0.0055011150626183055
126,feature_126,-1.0,0.00530256485964049,-0.00530256485964049
68,feature_68,-1.0,0.00526310246346862,-0.00526310246346862
423,feature_423,-1.0,0.005199890717071269,-0.005199890717071269
425,feature_425,1.0,0.005178749150864145,0.005178749150864145
391,feature_391,-1.0,0.0051246455108242585,-0.0051246455108242585
2,D,1.0,0.004917034211551693,0.004917034211551693
152,feature_152,1.0,0.004899607530709596,0.004899607530709596
460,feature_460,1.0,0.004897790000866775,0.004897790000866775
162,feature_162,1.0,0.004882442324991665,0.004882442324991665
193,feature_193,-1.0,0.004742227167103078,-0.004742227167103078
101,feature_101,1.0,0.004585244180374895,0.004585244180374895
446,feature_446,1.0,0.004580499659526876,0.004580499659526876
381,feature_381,-1.0,0.0045671445485161435,-0.0045671445485161435
377,feature_377,1.0,0.004396921438888227,0.004396921438888227
146,feature_146,-1.0,0.004395106199022695,-0.004395106199022695
90,feature_90,1.0,0.00421837250729662,0.00421837250729662
56,feature_56,1.0,0.004198133719354602,0.004198133719354602
350,feature_350,-1.0,0.004195837720553348,-0.004195837720553348
410,feature_410,1.0,0.004146262681794265,0.004146262681794265
29,SS8_S,-1.0,0.004143597743134622,-0.004143597743134622
477,feature_477,1.0,0.004120895962475865,0.004120895962475865
457,feature_457,1.0,0.004075284101521469,0.004075284101521469
361,feature_361,1.0,0.0040137893132456606,0.0040137893132456606
217,feature_217,1.0,0.00400853420626093,0.00400853420626093
368,feature_368,1.0,0.003932027397289691,0.003932027397289691
468,feature_468,-1.0,0.0038917909333741796,-0.0038917909333741796
62,feature_62,1.0,0.003794614608115653,0.003794614608115653
127,feature_127,-1.0,0.003708662597843262,-0.003708662597843262
316,feature_316,-1.0,0.0036917382182892733,-0.0036917382182892733
325,feature_325,-1.0,0.003664874517313871,-0.003664874517313871
58,feature_58,1.0,0.0036149400711191124,0.0036149400711191124
24,SS8_E,-1.0,0.003575903496897025,-0.003575903496897025
241,feature_241,-1.0,0.0035746159591065717,-0.0035746159591065717
188,feature_188,1.0,0.0034653520602365563,0.0034653520602365563
418,feature_418,1.0,0.0034281443042304435,0.0034281443042304435
28,SS8_T,-1.0,0.0033681876551089804,-0.0033681876551089804
232,feature_232,-1.0,0.0033573444835934356,-0.0033573444835934356
334,feature_334,1.0,0.003343384307131202,0.003343384307131202
41,feature_41,-1.0,0.0032949836151170064,-0.0032949836151170064
255,feature_255,1.0,0.003289201636830254,0.003289201636830254
27,SS8_B,-1.0,0.0032780389435957276,-0.0032780389435957276
21,SS3_E,-1.0,0.00326301951665339,-0.00326301951665339
336,feature_336,1.0,0.0032472113187728257,0.0032472113187728257
333,feature_333,-1.0,0.003237504904821407,-0.003237504904821407
276,feature_276,1.0,0.0032259558928967326,0.0032259558928967326
