Index,Feature,CorrSign,MeanAbsSHAP,DirectionalEffect
32,GRAVY,1.0,0.8710636074411154,0.8710636074411154
22,SS3_C,1.0,0.3839932100999888,0.3839932100999888
12,P,1.0,0.36457553046267865,0.36457553046267865
26,SS8_I,1.0,0.33166296999781975,0.33166296999781975
30,SS8_-,-1.0,0.3068423805412186,-0.3068423805412186
33,AROM,1.0,0.24959882824482488,0.24959882824482488
20,SS3_H,1.0,0.2277325436281468,0.2277325436281468
28,SS8_T,-1.0,0.22326938262747043,-0.22326938262747043
8,K,-1.0,0.19923478052179983,-0.19923478052179983
13,Q,-1.0,0.14679005295290876,-0.14679005295290876
17,V,1.0,0.13109135901111038,0.13109135901111038
10,M,1.0,0.1082866027501426,0.1082866027501426
3,E,1.0,0.10714672094867939,0.10714672094867939
16,T,1.0,0.097409694838021,0.097409694838021
23,SS8_H,1.0,0.08467935429077166,0.08467935429077166
11,N,1.0,0.06906219366947192,0.06906219366947192
18,W,1.0,0.06035073313769325,0.06035073313769325
5,G,-1.0,0.05345984571526056,-0.05345984571526056
31,ASA,-1.0,0.0522962120487693,-0.0522962120487693
0,A,1.0,0.05082019449536997,0.05082019449536997
19,Y,1.0,0.042647247076425886,0.042647247076425886
21,SS3_E,-1.0,0.03707204135502462,-0.03707204135502462
9,L,1.0,0.034558087924862854,0.034558087924862854
24,SS8_E,-1.0,0.03440679631316384,-0.03440679631316384
1,C,-1.0,0.030640730871051045,-0.030640730871051045
4,F,1.0,0.030123342473985227,0.030123342473985227
25,SS8_G,-1.0,0.02836629701159989,-0.02836629701159989
14,R,1.0,0.02806758987010928,0.02806758987010928
7,I,-1.0,0.022546812549199994,-0.022546812549199994
15,S,-1.0,0.02086833236498616,-0.02086833236498616
29,SS8_S,1.0,0.017564517693964624,0.017564517693964624
6,H,1.0,0.012919932031354777,0.012919932031354777
2,D,-1.0,0.008109453094506103,-0.008109453094506103
27,SS8_B,-1.0,0.004407349483813095,-0.004407349483813095
