Feature,DirectionalMean_across_runs
GRAVY,0.7929647530339172
P,0.44211038990960294
SS3_H,0.38782800919232563
SS3_C,0.35582849113801546
SS8_I,0.3087711095935794
AROM,0.27599279410131194
SS8_T,-0.25189651850201283
SS8_-,-0.2336451479086925
K,-0.17446409490489903
V,0.16881988157644132
Q,-0.12305620369970978
T,0.1145509564990244
SS8_H,0.09299808314914554
E,0.08708677886211828
ASA,-0.0745999072709412
SS8_G,-0.06626199999425302
F,0.050129129506473816
R,-0.047718035873932994
L,0.045330434001850065
SS8_B,-0.04094233383591389
W,0.0388363426274129
M,0.03796963019569916
A,-0.03773327055386348
S,-0.035623326663863565
SS8_E,-0.03159682523556227
N,0.0283156611628671
H,-0.02411090262182721
I,0.023255975626446358
Y,0.017832922688956622
D,0.015508861816495908
C,-0.010538870912892908
G,0.009454269598155273
SS8_S,-0.0063717383823890476
SS3_E,-0.005276641628910878
