Feature,DirectionalMean_across_runs
GRAVY,0.5869417597305211
SS8_E,0.3675094952722221
SS8_I,0.28104409459864155
SS3_E,0.1980757824252026
SS8_T,-0.19629165888261832
H,0.19400348968369469
SS8_S,-0.18172728920733766
Q,0.16908742188864545
V,0.1314118194657478
SS8_G,-0.12312594583581411
P,-0.11650982664812344
SS3_C,-0.11496434802418957
N,0.1107193817833014
S,0.0844578516707439
SS8_B,-0.0570960188440765
D,-0.053987740552710405
T,0.0507525859028367
W,-0.0479050557388041
F,-0.03530402466084348
Y,-0.02930876623575872
G,0.02909577093264092
AROM,0.027543935140195864
SS3_H,0.024814888243260468
SS8_H,-0.02399873449284152
I,-0.020257662414227433
SS8_-,-0.013670623218116643
M,-0.012083812770727686
ASA,-0.011379617862029212
E,0.011300030895015366
K,0.007992040056612705
R,-0.004457403161868052
C,0.004379742846910321
A,-0.004035904686338733
L,-0.0024481773812016446
