Index,Feature,CorrSign,MeanAbsSHAP,DirectionalEffect
1,C,-1.0,0.2653294791165913,-0.2653294791165913
31,ASA,-1.0,0.25001799700478883,-0.25001799700478883
6,H,-1.0,0.20351585928173546,-0.20351585928173546
30,SS8_-,-1.0,0.17190299037492587,-0.17190299037492587
15,S,-1.0,0.16793767265966275,-0.16793767265966275
9,L,-1.0,0.12797329178340153,-0.12797329178340153
0,A,1.0,0.10879314560051864,0.10879314560051864
2,D,1.0,0.09850787301119499,0.09850787301119499
5,G,1.0,0.09695251505233862,0.09695251505233862
17,V,1.0,0.09178875830404205,0.09178875830404205
8,K,1.0,0.08333229937026157,0.08333229937026157
18,W,-1.0,0.07849041984683904,-0.07849041984683904
12,P,-1.0,0.06848602429911098,-0.06848602429911098
24,SS8_E,1.0,0.0631193462794106,0.0631193462794106
7,I,1.0,0.048049377847718275,0.048049377847718275
11,N,1.0,0.03465740559194138,0.03465740559194138
29,SS8_S,1.0,0.021442267611359117,0.021442267611359117
3,E,1.0,0.019049217651011773,0.019049217651011773
27,SS8_B,1.0,0.017285243326400423,0.017285243326400423
26,SS8_I,1.0,0.01713133963940864,0.01713133963940864
22,SS3_C,-1.0,0.016803733638115163,-0.016803733638115163
21,SS3_E,-1.0,0.015814936153821426,-0.015814936153821426
14,R,-1.0,0.015003830137305633,-0.015003830137305633
4,F,1.0,0.014549589113209443,0.014549589113209443
10,M,-1.0,0.01341232706069979,-0.01341232706069979
20,SS3_H,1.0,0.013319675708489376,0.013319675708489376
28,SS8_T,1.0,0.013174752745594924,0.013174752745594924
32,GRAVY,-1.0,0.012253796955680574,-0.012253796955680574
19,Y,1.0,0.011787502530831575,0.011787502530831575
33,AROM,-1.0,0.010729684260157045,-0.010729684260157045
16,T,-1.0,0.009626656251229427,-0.009626656251229427
13,Q,-1.0,0.009400486737270194,-0.009400486737270194
25,SS8_G,1.0,0.00805039299963091,0.00805039299963091
23,SS8_H,-1.0,0.006579566521333018,-0.006579566521333018
