Feature,DirectionalMean_across_runs
C,-0.24493985510708863
ASA,-0.24358394338030642
H,-0.17460097710639194
S,-0.173962176367577
L,-0.12627061992473682
SS8_-,-0.11831919050556697
A,0.11729466712439189
D,0.10299658307998309
W,-0.09346365585401482
K,0.08762457564974313
V,0.08035428863357015
SS8_E,0.07508740531429359
P,-0.07023860278952052
G,0.05759342254560407
I,0.04727481543419795
SS8_S,0.04192135862979386
N,0.02921994252785525
E,0.02196944636352157
Y,0.021078496535443154
SS3_C,-0.020161116510908617
R,-0.019849028881726044
F,-0.014842178947240842
SS8_T,0.014626029692040628
Q,-0.013190660232205017
SS8_B,0.012533199183964616
SS8_G,0.012318683419004627
T,-0.011991831580640332
SS3_H,0.011326652935386863
AROM,-0.009834489772619321
SS8_I,0.009645499006886623
SS3_E,0.0032507445840341833
M,-0.002911346717956649
GRAVY,-0.002761671549556392
SS8_H,-0.0015743548328869018
