Feature,DirectionalMean_across_runs
feature_222,0.12870721862943263
feature_575,-0.11255254368568875
feature_884,0.10165248969549072
feature_669,-0.08258265134493052
feature_112,-0.0690489703304445
feature_478,0.06119947537215338
feature_1040,0.06118090112725473
feature_426,0.05750942632091045
feature_242,0.05650156751818771
feature_39,-0.056062996034600764
feature_129,-0.050057619164449854
feature_735,-0.047690043881937365
feature_128,0.03557250066428926
feature_1086,-0.03411800065486668
feature_910,-0.03359616460254825
feature_501,0.033524744003579174
feature_309,-0.032149351637307824
feature_922,0.029771848073627937
feature_847,0.02829444959052795
feature_638,-0.028248660676759723
feature_881,-0.027232619722478084
feature_724,-0.025121836607983748
feature_532,-0.024361028709870725
feature_1228,-0.024054531096247868
feature_849,-0.024025009111416133
feature_630,0.02384230814682462
feature_916,-0.023181269986416696
feature_670,0.023065089796604744
feature_333,-0.02305255719738351
feature_489,-0.023031887370895208
feature_860,0.022821016657967215
feature_370,0.022767948066102914
feature_807,0.022559962137802626
feature_240,-0.02251026366006456
feature_1060,0.02222581634739485
feature_536,-0.02201051249355967
feature_279,-0.020669693678773863
A,0.02056828396724853
feature_1223,-0.018705174096352445
feature_777,0.017570014262011796
feature_211,-0.017321526407869287
feature_690,-0.017112191724967467
feature_416,0.01653212078631182
V,0.01653180681425307
feature_165,0.015365484828867928
feature_389,-0.01525771883592605
feature_145,0.01487561535893285
feature_156,-0.014712624673926594
feature_299,-0.014014192375721397
feature_249,0.013984393987430583
feature_1174,0.013949456579505415
feature_917,-0.013815883083862491
feature_1010,0.013591440081931427
feature_148,0.0132215706603506
feature_854,-0.013066697529487342
feature_753,-0.012907257838371222
feature_118,0.012849651601908646
feature_702,-0.012470754649432075
feature_823,0.011514776609113517
feature_319,-0.011349293098603604
feature_1082,0.011209460957099982
feature_940,0.010927648509463577
feature_1052,0.010910608458448174
feature_655,0.010740152295849141
feature_522,0.010242686730057184
feature_513,0.010193461374832314
feature_774,0.010000471041790642
feature_1245,0.00996820524616969
feature_383,-0.00968665417820404
feature_341,-0.009297076798910231
feature_857,-0.009267888618362934
feature_1190,0.009168938678780686
feature_354,0.009152907602452862
feature_967,-0.009108931329928984
feature_77,0.00904347173022808
feature_342,0.009035942335024078
feature_152,-0.008994164068187285
feature_1055,-0.00885802891847574
feature_743,0.008829478791471859
feature_439,-0.008733519023814043
feature_269,0.008618413923834497
feature_382,0.0081502182585624
feature_424,0.007971560015282295
feature_1175,-0.007926071103981577
feature_1124,-0.007906200223859012
feature_1058,-0.00790112692291663
feature_825,-0.007877026448808586
feature_563,0.007809688449258859
feature_1002,-0.007649571604361312
feature_497,-0.007596606429747544
feature_1146,-0.007473500578732892
feature_949,-0.0074128046852262024
feature_197,0.007393810706420581
ASA,-0.007341168821214074
feature_131,0.007172734062902926
feature_198,0.007153936829203686
feature_561,-0.007147385791256895
feature_419,-0.007107967876243586
feature_1094,-0.0070620993460168814
feature_1240,-0.007032486161186074
feature_516,0.006999310331336923
feature_537,-0.006973346655340963
feature_1034,-0.006951205726073782
feature_1197,-0.006946040970318266
feature_133,-0.006932906641997308
feature_385,-0.006772994507967751
feature_345,0.006714885515445914
feature_614,-0.0066921919020338765
feature_369,-0.006649391492879762
feature_371,0.006489602206242261
feature_175,-0.00634300175620935
feature_822,0.006341297694318714
feature_300,-0.006217844082867156
feature_640,0.006133313685560356
feature_447,0.006029737475530593
feature_1043,0.006010221600309247
feature_934,0.005980111465961668
feature_1191,0.00597905382049649
feature_381,0.005976726627679884
feature_406,-0.0059047031623394005
feature_56,0.005799725558960133
feature_460,-0.005722937057877071
feature_786,-0.005644277507123501
feature_872,0.0056266323225065175
feature_193,0.0055295530706949685
feature_800,-0.005516547203462563
feature_1184,-0.005456175743496225
feature_698,-0.0054494444779754165
feature_1044,-0.005442212249223742
feature_1091,-0.005350299236655044
feature_942,0.0052675271112339285
feature_1270,0.00526487169650599
feature_809,0.0052628882089412075
feature_1199,0.00523208100746045
feature_535,0.005222171927298731
feature_202,0.005194408335836918
feature_335,-0.005182429783200748
feature_458,0.005014256524882258
feature_449,0.004960991035962094
feature_733,-0.004836581896560909
feature_287,0.004832864878822465
feature_490,0.004822733150333217
feature_397,0.0048077545300730575
feature_139,0.004762104401622265
feature_1026,-0.004736822312042257
feature_569,-0.004713149207774324
feature_726,-0.004709936235050654
feature_275,0.004700220735153935
feature_387,0.004638890486960863
feature_989,0.004637044468877852
feature_1070,-0.004631060953362105
feature_1079,-0.004612316978746734
feature_696,-0.0046110603527827745
feature_904,-0.004585641238231731
feature_291,-0.004562935227195232
feature_174,0.004443080902836951
feature_293,0.00443954548951074
feature_962,-0.004416169683977479
feature_247,-0.0044105252676841745
feature_116,-0.004404200492775026
feature_519,-0.004381853721288772
feature_236,-0.004364489856883756
feature_819,0.004345747116127155
feature_1161,0.0043311807080793855
feature_318,0.004288727421080486
feature_376,0.004288041182066128
feature_1041,0.004272770012188214
feature_689,0.004261107010608229
feature_1090,-0.0042576397762851045
feature_308,-0.004213720298530366
feature_747,-0.004157864991205552
feature_58,0.004085444858282747
feature_947,0.004063907950586347
feature_436,-0.004047403158827284
feature_147,0.004043035002669872
feature_186,0.004042953749536652
feature_1029,-0.004006203533126895
feature_1000,-0.003944569585987982
feature_780,0.0038956760974567005
feature_661,-0.0038659880689738855
feature_272,-0.0038322498890357133
feature_84,-0.003661699375263329
feature_1019,-0.0035929668156963884
feature_789,0.0035768251903403707
feature_1151,0.0035342492555592376
feature_1006,-0.0035282547693289887
feature_180,-0.0035174262433055334
feature_231,0.003494855132294366
feature_858,0.003493116869277504
feature_232,-0.003468197620962829
feature_559,-0.003466610902102314
feature_377,0.003450824967362665
feature_648,-0.003431779418275755
feature_1217,-0.003431655425001151
feature_1149,0.0034265477736047426
feature_527,-0.003405028456244001
feature_316,-0.0033662882305555905
feature_1262,0.0032949170164552058
feature_1103,-0.0032932173092753898
feature_163,-0.0032086905283666154
feature_315,-0.003180839703865593
feature_1220,-0.0031777712797148956
feature_391,-0.0031493954269708213
feature_1243,0.0031345979310986663
feature_784,0.003103794423615652
feature_481,-0.0030055275539413616
feature_710,0.002988272254722819
feature_596,-0.002976039377599942
feature_766,-0.002968607781299043
feature_768,0.002945294080646239
feature_615,-0.002939280041990942
feature_600,-0.0029242194319041956
feature_606,0.0029238206665169733
feature_48,0.002920557623861022
feature_740,0.002912892029102893
feature_40,0.0028810800311007763
feature_571,0.0028775323313928983
feature_153,-0.0028620417872806526
feature_429,-0.0028519068744518082
feature_580,-0.0028515757213389403
feature_268,-0.002835274732052686
feature_69,-0.002829494416917059
feature_576,0.002820799814921936
feature_518,-0.0027840537382196272
feature_897,-0.00276351536329347
feature_694,0.00275665752913121
feature_1039,-0.0027513451570308676
feature_1081,0.0026687941269973674
feature_913,-0.002629331990250063
feature_127,-0.0026213674322514736
feature_95,0.002619288894985295
feature_554,0.002613201264543263
SS8_H,-0.002610566348551265
feature_1047,0.0025943047488853205
feature_1266,-0.002590837944075123
feature_582,-0.0025877215085664605
feature_73,-0.0025578188443790566
feature_105,0.002549890880879711
feature_931,0.002537303138115249
feature_196,0.002535552530143794
feature_565,-0.0025205861989900107
feature_201,-0.0024439304966359307
feature_1066,0.0024399103224762137
feature_1064,-0.0024380192351131855
feature_283,-0.002426554091228816
feature_1053,0.0024092064364577923
feature_1059,0.0024017866203610897
feature_52,-0.0024005958596963776
feature_363,-0.002395254769867268
feature_538,0.002384317488199246
feature_970,-0.0023805460303491137
feature_162,-0.0023776958068683356
feature_918,0.002365438884927408
feature_1073,0.0023638373573477848
feature_117,0.0023513705607717166
feature_407,-0.0023090381961496566
feature_251,0.002292286397000299
feature_827,0.002290305535255788
feature_862,-0.0022878174405537577
feature_431,-0.0022811011619699815
feature_679,0.002268584360986274
feature_611,-0.002252943096907411
feature_955,0.002252585854336213
feature_1063,-0.002219363459057622
feature_1234,-0.002212757984984974
feature_866,0.002200369178795412
feature_642,0.0021957275545024086
feature_411,0.0021834332700917678
feature_96,0.002179326436452505
feature_1167,-0.0021652505464639506
feature_607,0.0021528384014887067
feature_216,0.0020988777183004806
E,0.0020767199103885986
feature_492,-0.002075984299585422
feature_695,-0.0020719258609085416
feature_329,-0.0020663439717135924
feature_928,-0.0020518909524611323
feature_855,0.0020271298297045133
feature_502,0.0020065909260096057
feature_477,-0.0019998287285030634
feature_619,-0.0019915391924893626
feature_1238,-0.001984808648266852
feature_510,0.0019846311021858984
feature_591,0.0019792445817263735
feature_35,-0.00197501651407228
feature_149,0.0019619007772318673
feature_53,0.001956082948812936
feature_665,0.001953864286208588
feature_548,-0.0019506177720003356
feature_459,-0.0019242573118327978
feature_120,0.0019239575572733195
feature_802,0.0019212251395053503
feature_1187,-0.0019190727072207546
feature_994,-0.0019100418098686451
feature_164,-0.001907993159839275
feature_885,-0.0019069588222075692
feature_707,0.0018796840079652849
feature_1028,-0.0018727583689956717
feature_557,-0.0018649913746869476
feature_808,0.001863127865286408
feature_525,-0.0018597422035762957
feature_869,-0.0018499235100130195
feature_466,0.0018383304224720495
feature_1139,-0.0018302476833939843
feature_1135,0.0018235393904405465
feature_1177,0.0018217273063003102
feature_98,0.0018117656394762052
SS8_G,-0.0018039358617858805
feature_1099,-0.001799811523652652
feature_1173,-0.0017967163259468642
feature_1018,-0.0017911441281014706
feature_317,0.0017910167160218554
feature_863,0.0017213837403685507
feature_805,0.0017165319150105884
feature_935,-0.0017111657786659652
feature_875,-0.001691047969678721
feature_1007,-0.0016888917621711637
feature_995,0.0016854567178680828
feature_776,0.001684014230084899
feature_375,0.0016766559491999504
feature_750,0.0016665256130345067
feature_1009,0.0016575419738915343
feature_865,-0.0016560026453725026
feature_719,0.0016470432627110998
feature_199,0.0016466854467078011
feature_471,-0.0016361651665240911
feature_413,0.0016275292313406267
feature_446,0.0016198157329003868
feature_727,0.00161877731140645
feature_486,0.001609371599750075
feature_951,0.0015998987802171496
feature_144,-0.0015952989809503635
feature_868,0.001594307668721252
feature_443,0.0015934574259214023
feature_301,-0.001589698697673544
feature_172,0.0015873309970397727
feature_441,0.0015867294052704858
feature_588,-0.0015818719314717137
feature_1113,-0.0015670375436940165
feature_882,-0.0015567343939736492
feature_856,-0.0015520486212334925
feature_810,-0.0015218660636958424
feature_399,0.0015211328397003359
feature_1186,0.0015128676975181433
SS8_T,-0.0015073134312168404
feature_851,-0.001502683149487829
feature_374,0.0015015361152481749
feature_1051,-0.0014863157723797016
feature_450,-0.0014822401321256356
feature_1226,-0.0014786054071116305
AROM,-0.0014731981741692487
feature_38,0.0014682778620463829
feature_1130,0.0014629089832154923
feature_539,-0.0014620822975304607
feature_577,0.001460555933840696
feature_346,0.0014589950204875347
feature_82,0.0014238429303925833
feature_668,0.0014178878925545958
feature_976,0.0014153631576272292
feature_215,-0.00141362146003375
feature_878,-0.0014026497170124433
feature_836,-0.001394578106268945
feature_1154,-0.001391167359625924
feature_1076,-0.001387425655410632
feature_195,-0.0013872895760431332
feature_455,-0.0013790184585686465
feature_194,-0.0013739851198350502
feature_425,-0.0013726287064986134
H,-0.0013716076226637018
feature_587,0.001368549012064884
feature_1212,-0.0013660059208914766
S,-0.001361139087959472
feature_1239,0.0013540587607471437
feature_160,-0.0013474108501250037
feature_1145,0.0013427350271193472
feature_378,-0.0013417726307181073
feature_593,-0.0013385987190200857
feature_895,-0.0013240567916852014
feature_961,-0.0013229074747654478
feature_438,-0.0013207199937019848
feature_330,-0.0013192374834003363
feature_1265,0.0013096714956842945
feature_811,0.0013063023771204218
feature_154,-0.0013028738956818533
feature_879,0.0012987602015769293
feature_908,-0.0012944703652173382
feature_834,-0.0012850407414025423
feature_671,-0.001280957559054567
feature_706,0.0012731222335524988
feature_113,0.0012728192491684525
