Feature,PosCount,NegCount,TotalCount,DominantCount
feature_222,10,0,10,10
feature_575,0,10,10,10
feature_669,0,9,9,9
feature_884,9,0,9,9
feature_112,0,7,7,7
feature_478,7,0,7,7
feature_1040,6,0,6,6
feature_129,0,6,6,6
feature_242,5,0,5,5
feature_39,0,5,5,5
feature_426,5,0,5,5
feature_1086,0,4,4,4
feature_735,0,3,3,3
feature_309,0,2,2,2
feature_916,0,2,2,2
feature_1060,1,0,1,1
feature_128,1,0,1,1
feature_370,1,0,1,1
feature_489,0,1,1,1
feature_536,0,1,1,1
feature_630,1,0,1,1
feature_670,1,0,1,1
feature_847,1,0,1,1
feature_849,0,1,1,1
feature_922,1,0,1,1
