Model Subfolder,Task,Embedding Type,Accuracy_mean,Accuracy_ci_low,Accuracy_ci_high,F1_mean,F1_ci_low,F1_ci_high,ROC_AUC_mean,ROC_AUC_ci_low,ROC_AUC_ci_high,Precision_mean,Precision_ci_low,Precision_ci_high,Recall_mean,Recall_ci_low,Recall_ci_high
esm2_t12_35M_UR50D,AGG,Partitioned,0.8205776173285197,0.8147327828999049,0.8264224517571346,0.7375172863704151,0.7267930095593826,0.7482415631814476,0.8861242937853108,0.8824596844841978,0.8897889030864238,0.7817242641123044,0.7682827999194587,0.7951657283051502,0.699,0.6783631965302019,0.719636803469798
esm2_t12_35M_UR50D,AGG,Informed,0.8180505415162453,0.8068795224269459,0.8292215606055447,0.7390343292515678,0.7206510459328238,0.7574176125703117,0.8798870056497176,0.8745123496161089,0.8852616616833262,0.7659511479727193,0.7488441126890371,0.7830581832564016,0.7150000000000001,0.6865351465898163,0.7434648534101839
esm2_t12_35M_UR50D,AGG,Baseline,0.807942238267148,0.7994377799046781,0.8164466966296178,0.7220190079180135,0.707170235735122,0.736867780100905,0.8791638418079095,0.8718777941958283,0.8864498894199907,0.7559680948289678,0.7416152997862409,0.7703208898716947,0.6920000000000001,0.666584966580437,0.7174150334195631
esm2_t12_35M_UR50D,AGG,ESM2,0.8111913357400722,0.7971488436589603,0.825233827821184,0.720305260479084,0.6954289299898668,0.7451815909683013,0.8798926553672317,0.8716332284284276,0.8881520823060358,0.7726248955632735,0.7548316334272536,0.7904181576992935,0.676,0.6391824703734548,0.7128175296265453
esm2_t12_35M_UR50D,EV,Partitioned,0.7294283697953423,0.7264256265499043,0.7324311130407803,0.5725233693261716,0.5633468692144777,0.5816998694378656,0.7718261865551723,0.7696200068119846,0.77403236629836,0.6661373209750553,0.6609427873079387,0.6713318546421719,0.5023460410557185,0.4878701576950873,0.5168219244163496
esm2_t12_35M_UR50D,EV,Informed,0.7160197600564573,0.7124523896666829,0.7195871304462317,0.5281170182886594,0.5207342162329567,0.5354998203443622,0.7441397282707556,0.7413942048404287,0.7468852517010824,0.6600048421711711,0.6510686952441824,0.6689409890981597,0.4403714565004887,0.4307425042731087,0.45000040872786873
esm2_t12_35M_UR50D,EV,Baseline,0.6995059985885674,0.6969039137199663,0.7021080834571686,0.5017477106125574,0.49399047253188355,0.5095049486932313,0.735786086223378,0.7326470076598309,0.7389251647869252,0.6248927739585466,0.6195124117140558,0.6302731362030374,0.4193548387096774,0.4087089226448057,0.4300007547745491
esm2_t12_35M_UR50D,EV,ESM2,0.7348623853211008,0.7324116184362776,0.7373131522059241,0.5829712995356865,0.578076693217368,0.587865905854005,0.7765994495461374,0.7742436659536162,0.7789552331386586,0.6744779661571861,0.6684219330169971,0.6805339992973751,0.5134897360703812,0.5055232665718397,0.5214562055689227
esm2_t12_35M_UR50D,TM,Partitioned,0.9773993808049536,0.9752344290500349,0.9795643325598723,0.9161925280898423,0.9081905879467028,0.9241944682329818,0.9891363208287555,0.9866250751731965,0.9916475664843144,0.970944362839987,0.960202283393067,0.9816864422869069,0.8673913043478262,0.8585637035205732,0.8762189051750792
esm2_t12_35M_UR50D,TM,Informed,0.9696594427244583,0.9673132716076253,0.9720056138412912,0.8861617428759937,0.8772889768263534,0.895034508925634,0.9728496311411083,0.9700254943915448,0.9756737678906718,0.9517344395410768,0.9381089071448823,0.9653599719372714,0.8293478260869565,0.8171632667028158,0.8415323854710971
esm2_t12_35M_UR50D,TM,Baseline,0.963312693498452,0.9592339458782095,0.9673914411186946,0.8627488567211102,0.8474979666453146,0.8779997467969058,0.9674050384555015,0.9639669954689123,0.9708430814420907,0.923762667443366,0.9035831812270467,0.9439421536596853,0.8097826086956521,0.79173230300114,0.8278329143901643
esm2_t12_35M_UR50D,TM,ESM2,0.978328173374613,0.9768516885325318,0.9798046582166942,0.9186319112256977,0.9125670970216075,0.9246967254297878,0.984817924972532,0.9819446673280043,0.9876911826170596,0.9863217880992794,0.9836991878423536,0.9889443883562052,0.8597826086956522,0.8485146669210158,0.8710505504702885
esm2_t33_650M_UR50D,AGG,Partitioned,0.8176895306859207,0.8059966926083921,0.8293823687634492,0.7360659246730836,0.7177431955684965,0.7543886537776707,0.8828248587570622,0.8780282635145986,0.8876214539995257,0.7708099666711419,0.7528985198131484,0.7887214135291354,0.7050000000000001,0.6801620133957961,0.7298379866042041
esm2_t33_650M_UR50D,AGG,Informed,0.8166064981949459,0.8089261964281846,0.8242867999617072,0.7370010787942058,0.7265500689678055,0.7474520886206062,0.8810677966101694,0.8774475207857532,0.8846880724345857,0.7650514997076703,0.7470149131945334,0.7830880862208072,0.712,0.692983522353462,0.731016477646538
esm2_t33_650M_UR50D,AGG,Baseline,0.8028880866425994,0.7953637463307264,0.8104124269544724,0.7067691766315921,0.6933317103758015,0.7202066428873827,0.8814293785310735,0.8764003213895016,0.8864584356726454,0.7638062752282665,0.7464557785279025,0.7811567719286305,0.659,0.6345775480667316,0.6834224519332684
esm2_t33_650M_UR50D,AGG,ESM2,0.8252707581227436,0.8194069366346045,0.8311345796108828,0.7461019461806011,0.7353775474589976,0.7568263449022046,0.8931016949152542,0.8870873952657709,0.8991159945647375,0.7845737882810998,0.7740027649429557,0.7951448116192439,0.712,0.6909945311278366,0.7330054688721633
esm2_t33_650M_UR50D,EV,Partitioned,0.74484827099506,0.7416788672419294,0.7480176747481906,0.6039638830901936,0.5993381625376438,0.6085896036427433,0.7939563426070613,0.7923264629130085,0.7955862223011141,0.6869204227566068,0.6793384680960112,0.6945023774172024,0.5390029325513197,0.5326862039207672,0.5453196611818723
