Index,Feature,CorrSign,MeanAbsSHAP,DirectionalEffect
32,GRAVY,1.0,1.0853480866065235,1.0853480866065235
17,V,1.0,0.40741396721874557,0.40741396721874557
33,AROM,1.0,0.3606158032141652,0.3606158032141652
22,SS3_C,-1.0,0.26945910296146797,-0.26945910296146797
31,ASA,-1.0,0.16264359004894724,-0.16264359004894724
12,P,-1.0,0.14835121702517706,-0.14835121702517706
15,S,-1.0,0.1273476915899341,-0.1273476915899341
7,I,1.0,0.11438936266867741,0.11438936266867741
2,D,-1.0,0.08677562184072259,-0.08677562184072259
30,SS8_-,-1.0,0.0757449404705609,-0.0757449404705609
6,H,1.0,0.07209768935418924,0.07209768935418924
9,L,1.0,0.05463374079494662,0.05463374079494662
1,C,1.0,0.047181665161128296,0.047181665161128296
13,Q,1.0,0.04426359864240185,0.04426359864240185
28,SS8_T,-1.0,0.04271017669527584,-0.04271017669527584
20,SS3_H,-1.0,0.042680204341410316,-0.042680204341410316
3,E,1.0,0.037368257399627666,0.037368257399627666
24,SS8_E,1.0,0.03695234912180046,0.03695234912180046
19,Y,1.0,0.036563515486375334,0.036563515486375334
16,T,-1.0,0.035048539278577616,-0.035048539278577616
14,R,-1.0,0.02885626449137112,-0.02885626449137112
23,SS8_H,-1.0,0.020841342384828484,-0.020841342384828484
5,G,-1.0,0.019830384053431863,-0.019830384053431863
11,N,1.0,0.01807019142273763,0.01807019142273763
8,K,1.0,0.016891092425700867,0.016891092425700867
4,F,-1.0,0.010127258043050409,-0.010127258043050409
29,SS8_S,-1.0,0.00932171274818946,-0.00932171274818946
0,A,1.0,0.008445093505129236,0.008445093505129236
10,M,-1.0,0.006449100871994893,-0.006449100871994893
21,SS3_E,1.0,0.0030810513600979437,0.0030810513600979437
25,SS8_G,0.0,0.0,0.0
18,W,0.0,0.0,0.0
26,SS8_I,0.0,0.0,0.0
27,SS8_B,0.0,0.0,0.0
