Feature,DirectionalMean_across_runs
GRAVY,1.0112199993673663
V,0.42819839635000634
AROM,0.3303531235502116
P,-0.279138402471255
SS3_C,-0.21831540505253266
S,-0.11433410612590474
I,0.09055454820491042
D,-0.08370110758459352
Q,0.059380737630996605
ASA,-0.0573304985118104
SS3_E,0.05582309451952654
N,0.04650211161329892
R,-0.045881266294734
SS3_H,0.041271244086555574
C,0.04048482319281228
H,0.03858006098534049
Y,0.03223870769653473
A,-0.03001687573136152
G,-0.027323960217888254
SS8_T,-0.02705155107924175
SS8_H,-0.020213437882611415
T,-0.016837047554768052
M,-0.014845917190808047
SS8_-,0.010988289532276752
SS8_S,-0.009667147236162242
L,0.007453431057675238
SS8_E,0.007007335132191506
K,-0.006597664129374348
F,0.005392560654831114
E,-0.003037647007691171
W,-0.0013434135508947267
SS8_G,0.0
SS8_I,0.0
SS8_B,0.0
