Index,Feature,CorrSign,MeanAbsSHAP,DirectionalEffect
32,GRAVY,1.0,0.9598250921101917,0.9598250921101917
671,feature_671,1.0,0.2029088532158715,0.2029088532158715
139,feature_139,-1.0,0.19776209117502075,-0.19776209117502075
927,feature_927,-1.0,0.1566164232096816,-0.1566164232096816
448,feature_448,-1.0,0.14367763949135498,-0.14367763949135498
130,feature_130,1.0,0.1286980204423324,0.1286980204423324
265,feature_265,1.0,0.12249550532032226,0.12249550532032226
897,feature_897,-1.0,0.08408241281620683,-0.08408241281620683
72,feature_72,1.0,0.07321857938125975,0.07321857938125975
730,feature_730,-1.0,0.06883517665139277,-0.06883517665139277
821,feature_821,-1.0,0.0634047706554442,-0.0634047706554442
602,feature_602,1.0,0.06193077376381397,0.06193077376381397
967,feature_967,-1.0,0.05528333852564589,-0.05528333852564589
224,feature_224,-1.0,0.05206800326021377,-0.05206800326021377
293,feature_293,1.0,0.05086021268804831,0.05086021268804831
29,SS8_S,-1.0,0.04906290440657254,-0.04906290440657254
490,feature_490,-1.0,0.04674612844989655,-0.04674612844989655
731,feature_731,-1.0,0.04589605400598093,-0.04589605400598093
403,feature_403,-1.0,0.045413439059432605,-0.045413439059432605
152,feature_152,1.0,0.04418208354014575,0.04418208354014575
96,feature_96,-1.0,0.04200479283845832,-0.04200479283845832
963,feature_963,1.0,0.0407981625715611,0.0407981625715611
331,feature_331,-1.0,0.03889082266136932,-0.03889082266136932
777,feature_777,1.0,0.03847225889737719,0.03847225889737719
598,feature_598,-1.0,0.037216551398622656,-0.037216551398622656
813,feature_813,1.0,0.03700425899664447,0.03700425899664447
703,feature_703,1.0,0.03659355731569571,0.03659355731569571
807,feature_807,1.0,0.036581775231382674,0.036581775231382674
327,feature_327,-1.0,0.036313752315054584,-0.036313752315054584
332,feature_332,-1.0,0.03567903725535533,-0.03567903725535533
17,V,1.0,0.035456929990688175,0.035456929990688175
175,feature_175,1.0,0.034579830558610976,0.034579830558610976
907,feature_907,1.0,0.03398394159334408,0.03398394159334408
857,feature_857,-1.0,0.03231285408324553,-0.03231285408324553
232,feature_232,-1.0,0.031440869035865106,-0.031440869035865106
698,feature_698,-1.0,0.03060328002446423,-0.03060328002446423
314,feature_314,-1.0,0.029255518582843386,-0.029255518582843386
836,feature_836,-1.0,0.027996041526927726,-0.027996041526927726
968,feature_968,1.0,0.027681840246910623,0.027681840246910623
177,feature_177,1.0,0.026768669308559603,0.026768669308559603
425,feature_425,-1.0,0.0266892366652851,-0.0266892366652851
707,feature_707,1.0,0.026501495276904676,0.026501495276904676
410,feature_410,1.0,0.024121768801363307,0.024121768801363307
372,feature_372,1.0,0.02389628817941845,0.02389628817941845
527,feature_527,1.0,0.023847885087660625,0.023847885087660625
747,feature_747,1.0,0.02365399441404215,0.02365399441404215
572,feature_572,1.0,0.023545935691549544,0.023545935691549544
118,feature_118,-1.0,0.02347890137028114,-0.02347890137028114
274,feature_274,1.0,0.02309566267916344,0.02309566267916344
785,feature_785,-1.0,0.021766229947775623,-0.021766229947775623
