Feature,PosCount,NegCount,TotalCount,DominantCount
GRAVY,10,0,10,10
feature_332,0,7,7,7
feature_671,6,0,6,6
feature_452,5,0,5,5
feature_927,0,5,5,5
feature_130,4,0,4,4
feature_132,4,0,4,4
feature_448,0,4,4,4
feature_139,0,3,3,3
feature_204,0,3,3,3
feature_232,0,3,3,3
feature_715,3,0,3,3
feature_785,0,3,3,3
feature_828,0,3,3,3
feature_967,0,3,3,3
feature_256,0,2,2,2
feature_698,0,2,2,2
feature_897,0,2,2,2
A,0,1,1,1
V,1,0,1,1
feature_1005,1,0,1,1
feature_175,1,0,1,1
feature_235,1,0,1,1
feature_268,1,0,1,1
feature_313,1,0,1,1
feature_403,0,1,1,1
feature_410,1,0,1,1
feature_490,0,1,1,1
feature_551,1,0,1,1
feature_572,1,0,1,1
feature_602,1,0,1,1
feature_613,0,1,1,1
feature_667,1,0,1,1
feature_67,1,0,1,1
feature_710,1,0,1,1
feature_722,0,1,1,1
feature_778,0,1,1,1
feature_84,1,0,1,1
feature_902,0,1,1,1
feature_924,0,1,1,1
feature_938,0,1,1,1
feature_942,1,0,1,1
feature_950,0,1,1,1
feature_96,0,1,1,1
feature_98,0,1,1,1
feature_992,0,1,1,1
