Index,Feature,CorrSign,MeanAbsSHAP,DirectionalEffect
32,GRAVY,1.0,1.3136382479717224,1.3136382479717224
33,AROM,1.0,0.2404572017596292,0.2404572017596292
17,V,1.0,0.23521341550882605,0.23521341550882605
0,A,-1.0,0.17350895494527552,-0.17350895494527552
29,SS8_S,-1.0,0.1195622380916968,-0.1195622380916968
13,Q,1.0,0.11619332125582095,0.11619332125582095
22,SS3_C,-1.0,0.0942393492588443,-0.0942393492588443
16,T,-1.0,0.09358264495502623,-0.09358264495502623
21,SS3_E,1.0,0.08872676993019551,0.08872676993019551
26,SS8_I,1.0,0.08860856107554684,0.08860856107554684
18,W,-1.0,0.08453856144401076,-0.08453856144401076
23,SS8_H,1.0,0.0789435124378302,0.0789435124378302
12,P,-1.0,0.07745611142255766,-0.07745611142255766
6,H,1.0,0.07643333109594275,0.07643333109594275
27,SS8_B,1.0,0.0668191998256342,0.0668191998256342
14,R,-1.0,0.06478214275008816,-0.06478214275008816
2,D,-1.0,0.0638587649251836,-0.0638587649251836
19,Y,1.0,0.057164268060894384,0.057164268060894384
1,C,-1.0,0.0531775376056474,-0.0531775376056474
15,S,-1.0,0.05290109077511462,-0.05290109077511462
4,F,-1.0,0.05233160954986401,-0.05233160954986401
10,M,-1.0,0.05027000436000544,-0.05027000436000544
20,SS3_H,1.0,0.04754255353100875,0.04754255353100875
24,SS8_E,1.0,0.047147004571116945,0.047147004571116945
3,E,-1.0,0.045102827473184046,-0.045102827473184046
8,K,-1.0,0.04292979862122906,-0.04292979862122906
11,N,1.0,0.038859746008246786,0.038859746008246786
5,G,-1.0,0.034075528393975964,-0.034075528393975964
28,SS8_T,-1.0,0.03401105250869379,-0.03401105250869379
31,ASA,-1.0,0.032749500532104174,-0.032749500532104174
25,SS8_G,-1.0,0.027265545118535125,-0.027265545118535125
7,I,-1.0,0.02054401456820203,-0.02054401456820203
9,L,1.0,0.008660608659101012,0.008660608659101012
30,SS8_-,1.0,0.007310575608684306,0.007310575608684306
