Feature,DirectionalMean_across_runs
GRAVY,1.0470730600993143
V,0.2556482305400015
A,-0.21024290758271422
AROM,0.1789560466608843
SS8_I,0.1620700651662444
SS3_H,0.1288958342111976
SS8_S,-0.11254264173222839
S,-0.09653506004196684
N,0.08650293531503184
SS3_E,0.08509294826013708
D,-0.08100539267300931
W,-0.07718521641100617
SS3_C,-0.07377069662641503
P,-0.06675957475997739
R,-0.06322737551177407
SS8_B,-0.06103093008820972
Q,0.05830614123250224
F,-0.0547724030373631
M,-0.053731315339793265
SS8_H,0.05217307945269565
ASA,-0.048424639414336536
SS8_T,-0.04455238932335375
G,-0.04258633686195127
Y,0.041190885072873856
SS8_E,0.036243569410555405
K,0.03532958367610477
H,-0.03301540218984814
I,0.032910547041047775
C,0.028639222271842686
L,-0.02226691181868467
SS8_G,0.021932249702182154
T,-0.012992053589827296
E,0.0018499120643709302
SS8_-,-0.00027924695293255944
