Index,Feature,CorrSign,MeanAbsSHAP,DirectionalEffect
1,C,-1.0,0.24407537996877648,-0.24407537996877648
15,S,-1.0,0.2017261733195871,-0.2017261733195871
31,ASA,-1.0,0.19165367996973928,-0.19165367996973928
6,H,-1.0,0.1858263540564225,-0.1858263540564225
24,SS8_E,1.0,0.1428700697337335,0.1428700697337335
0,A,1.0,0.12344150905681084,0.12344150905681084
2,D,1.0,0.11551917494408141,0.11551917494408141
12,P,-1.0,0.11111448956474397,-0.11111448956474397
9,L,-1.0,0.08725320138488364,-0.08725320138488364
8,K,1.0,0.08071719413806144,0.08071719413806144
17,V,1.0,0.0662400354049234,0.0662400354049234
30,SS8_-,-1.0,0.06380226095504514,-0.06380226095504514
5,G,1.0,0.060677210054662006,0.060677210054662006
11,N,1.0,0.060129338828867146,0.060129338828867146
28,SS8_T,-1.0,0.055186065864188213,-0.055186065864188213
7,I,1.0,0.04575166383056204,0.04575166383056204
18,W,-1.0,0.03870942326289963,-0.03870942326289963
23,SS8_H,1.0,0.033848080279614716,0.033848080279614716
19,Y,1.0,0.028815961423126507,0.028815961423126507
26,SS8_I,1.0,0.023401783753549926,0.023401783753549926
14,R,-1.0,0.023340332569808647,-0.023340332569808647
27,SS8_B,-1.0,0.022951247730134277,-0.022951247730134277
3,E,1.0,0.02157958208053299,0.02157958208053299
16,T,-1.0,0.020728059967177786,-0.020728059967177786
25,SS8_G,1.0,0.01862251600654789,0.01862251600654789
4,F,-1.0,0.017911294270717668,-0.017911294270717668
21,SS3_E,1.0,0.017399334241545248,0.017399334241545248
32,GRAVY,-1.0,0.01221915519234458,-0.01221915519234458
29,SS8_S,-1.0,0.011813846892511411,-0.011813846892511411
22,SS3_C,-1.0,0.010090661013328076,-0.010090661013328076
13,Q,-1.0,0.009860171782836014,-0.009860171782836014
33,AROM,-1.0,0.008961654341309843,-0.008961654341309843
20,SS3_H,1.0,0.008025090334199078,0.008025090334199078
10,M,1.0,0.006898057151326112,0.006898057151326112
