Feature,DirectionalMean_across_runs
C,-0.23161892680308452
S,-0.19331073602639964
ASA,-0.18669804523306613
H,-0.16900868027618365
A,0.12223036001416457
SS8_E,0.12060997750805594
D,0.11035929526371387
L,-0.10890798355164803
V,0.09052704177672335
K,0.07865854836252112
SS8_-,-0.0764888674259324
P,-0.07595143158272258
W,-0.07491444798400902
G,0.06653097627851472
I,0.05240902210404933
SS8_I,0.04095758954527694
N,0.034772617135275886
SS8_B,-0.030870511608588364
R,-0.02431715557978735
Y,0.023826809985508967
SS3_E,0.019734053398635466
E,0.017844775028197604
SS8_H,0.01385384211820528
T,-0.013358094228696823
F,-0.012945444943748738
SS3_C,-0.010032737391759958
SS8_G,0.009943727325700525
Q,-0.009601198707168624
AROM,-0.008843877353401041
SS8_S,-0.007630155188651249
SS8_T,0.007489264828194474
GRAVY,-0.007287108822146593
M,0.003137272796377354
SS3_H,0.0025017120032937517
