Index,Feature,CorrSign,MeanAbsSHAP,DirectionalEffect
471,feature_471,-1.0,0.1730266698811872,-0.1730266698811872
199,feature_199,-1.0,0.1269766712480026,-0.1269766712480026
6,H,-1.0,0.07886632572264962,-0.07886632572264962
811,feature_811,-1.0,0.07359075632863946,-0.07359075632863946
493,feature_493,-1.0,0.07090705278898217,-0.07090705278898217
484,feature_484,1.0,0.06685219233431462,0.06685219233431462
241,feature_241,-1.0,0.06596770633976802,-0.06596770633976802
1,C,-1.0,0.05684052105423512,-0.05684052105423512
232,feature_232,-1.0,0.05508587890506754,-0.05508587890506754
259,feature_259,1.0,0.05468472579183155,0.05468472579183155
231,feature_231,1.0,0.05317017111738756,0.05317017111738756
94,feature_94,1.0,0.052980211389243026,0.052980211389243026
403,feature_403,-1.0,0.05185279246969551,-0.05185279246969551
424,feature_424,1.0,0.04923538555405599,0.04923538555405599
178,feature_178,1.0,0.047647176140844114,0.047647176140844114
166,feature_166,1.0,0.04268427328950684,0.04268427328950684
28,SS8_T,-1.0,0.037721352312306625,-0.037721352312306625
18,W,-1.0,0.03405817549792708,-0.03405817549792708
454,feature_454,1.0,0.034014943605360164,0.034014943605360164
318,feature_318,-1.0,0.03368978120020648,-0.03368978120020648
710,feature_710,-1.0,0.03333159555445477,-0.03333159555445477
278,feature_278,1.0,0.03179564322955668,0.03179564322955668
627,feature_627,1.0,0.029291872771763476,0.029291872771763476
795,feature_795,1.0,0.028915336957854115,0.028915336957854115
828,feature_828,-1.0,0.02865766654560894,-0.02865766654560894
95,feature_95,1.0,0.026682204363282138,0.026682204363282138
948,feature_948,-1.0,0.02637534102221896,-0.02637534102221896
913,feature_913,1.0,0.026172440841938586,0.026172440841938586
958,feature_958,-1.0,0.026058176012222517,-0.026058176012222517
629,feature_629,-1.0,0.024983832504122356,-0.024983832504122356
586,feature_586,-1.0,0.024580260141687175,-0.024580260141687175
1019,feature_1019,1.0,0.024504466302868472,0.024504466302868472
239,feature_239,1.0,0.023928994485430444,0.023928994485430444
640,feature_640,-1.0,0.023274357145450487,-0.023274357145450487
988,feature_988,1.0,0.023232514948441557,0.023232514948441557
442,feature_442,-1.0,0.0223388824231058,-0.0223388824231058
747,feature_747,-1.0,0.02179537512498705,-0.02179537512498705
992,feature_992,-1.0,0.02124755942024871,-0.02124755942024871
538,feature_538,-1.0,0.020619593004775442,-0.020619593004775442
111,feature_111,1.0,0.0200486949650277,0.0200486949650277
150,feature_150,1.0,0.01870515791703829,0.01870515791703829
1008,feature_1008,-1.0,0.01846617124660699,-0.01846617124660699
148,feature_148,1.0,0.017670579202891303,0.017670579202891303
694,feature_694,-1.0,0.01739248388316081,-0.01739248388316081
120,feature_120,-1.0,0.017118076121663908,-0.017118076121663908
52,feature_52,1.0,0.016702627640455683,0.016702627640455683
1020,feature_1020,1.0,0.016683535246210204,0.016683535246210204
961,feature_961,1.0,0.01625853491901421,0.01625853491901421
315,feature_315,-1.0,0.015298526255421463,-0.015298526255421463
963,feature_963,1.0,0.015260177063844634,0.015260177063844634
297,feature_297,1.0,0.015213523047708871,0.015213523047708871
25,SS8_G,-1.0,0.014383170687131037,-0.014383170687131037
236,feature_236,1.0,0.014306845134695715,0.014306845134695715
999,feature_999,-1.0,0.014241570833867838,-0.014241570833867838
319,feature_319,1.0,0.014029854650425373,0.014029854650425373
75,feature_75,1.0,0.013332266461302908,0.013332266461302908
780,feature_780,-1.0,0.013124366886530878,-0.013124366886530878
840,feature_840,-1.0,0.013031548208448639,-0.013031548208448639
179,feature_179,-1.0,0.012904161642895772,-0.012904161642895772
820,feature_820,1.0,0.012903178717208873,0.012903178717208873
116,feature_116,-1.0,0.012810435411932825,-0.012810435411932825
248,feature_248,-1.0,0.012419499203630464,-0.012419499203630464
895,feature_895,-1.0,0.01223521019555358,-0.01223521019555358
479,feature_479,1.0,0.011703025622775231,0.011703025622775231
125,feature_125,-1.0,0.011685651957629717,-0.011685651957629717
388,feature_388,1.0,0.011636243355454544,0.011636243355454544
56,feature_56,-1.0,0.011625579502936289,-0.011625579502936289
604,feature_604,-1.0,0.011500848029005528,-0.011500848029005528
161,feature_161,-1.0,0.011150551746596944,-0.011150551746596944
326,feature_326,-1.0,0.010894611531546331,-0.010894611531546331
36,feature_36,1.0,0.010560722841457863,0.010560722841457863
