Feature,DirectionalMean_across_runs
feature_199,-0.14898655773209324
feature_471,-0.11236998778878682
feature_403,-0.06947671689094582
feature_811,-0.0674430436985999
C,-0.062295150624719686
feature_94,0.052545652757002716
feature_484,0.05128442592116296
H,-0.05036363238171711
feature_259,0.049262268644107855
feature_322,0.04643493364404423
feature_231,0.04212876810429499
feature_241,-0.04120778418837582
feature_710,-0.04093334264737919
feature_493,-0.03896670329713379
feature_179,-0.029038208712969905
feature_751,0.02765201321269147
feature_948,-0.02664313895103016
V,0.02627038698577864
feature_586,-0.026016382723311055
feature_150,0.025691167513469542
SS8_T,-0.024539167436112057
feature_1014,-0.02331424852418232
feature_278,0.02287728100314297
feature_913,0.0221835538352668
feature_424,0.021444934248169865
feature_963,0.020419413807347655
W,-0.02029645296309717
feature_232,-0.020005042512819697
feature_178,0.01999109019307897
feature_52,0.019829011349799534
feature_210,-0.01917498647036408
feature_717,0.019017814210053465
feature_452,-0.018955785734476593
feature_454,0.017798167090211196
feature_367,0.017640471286799343
feature_629,-0.01738072129437567
feature_1006,-0.016822109728615996
feature_992,-0.01660898225614981
feature_705,-0.016589778635690625
feature_489,0.01611824621104932
feature_166,0.015668714315280302
feature_239,0.015467871717011028
feature_988,0.015336978094358305
feature_802,0.014993888549990553
feature_857,0.014791527853526689
feature_538,-0.014678315945650255
feature_895,-0.01407477202970506
feature_56,-0.014056534407720398
feature_839,-0.013482003350253324
feature_125,-0.01325223139450235
feature_1020,0.013198662042139256
feature_35,0.012882293335718978
feature_1019,0.012864163616302285
feature_442,-0.012823775793070022
feature_75,0.012476521728476877
feature_900,0.012318042612227739
feature_447,0.012308936157731178
F,-0.012015731164554871
feature_795,0.011851499648215413
feature_164,0.011665407089451931
feature_950,0.011408721058381453
feature_315,-0.011219895874215659
feature_973,-0.011073821813677356
feature_849,0.010931917850950542
feature_104,-0.01085025108271049
feature_840,-0.010761946090229561
feature_95,0.010747291859568539
feature_148,0.01074200470431039
feature_161,-0.010486091835923585
feature_34,-0.010372053323746392
feature_295,-0.010331937394036348
feature_925,-0.010192939949368068
feature_975,-0.010152110826199195
feature_809,-0.010128497671763517
feature_76,-0.01012811354588217
feature_604,-0.009958439029207953
feature_318,-0.009613690559712385
feature_729,-0.009605446836257442
feature_860,-0.009532974462424109
feature_111,0.009339943129038911
feature_140,0.009190063953948894
feature_120,-0.009163612760062773
feature_961,0.009152038638124667
feature_247,-0.009112596447601746
feature_649,0.009041718479922372
feature_982,0.008966355317767256
feature_565,0.008759507905145927
feature_425,0.008637719998492829
feature_608,-0.00862374030212506
feature_44,0.008605540819814133
feature_388,0.008588595724055145
feature_201,0.00817049666010424
feature_820,0.008062254161381996
feature_828,-0.0077489732192649995
feature_640,-0.007657204510793128
feature_832,-0.007551657185207722
feature_116,-0.007454176414075068
feature_291,-0.007398668530508162
feature_219,0.0073836022378622095
feature_954,-0.007336342405315883
feature_79,-0.0070863055984095175
feature_203,0.0070677813922174395
feature_953,-0.007060343486749114
feature_531,-0.007047548560359699
feature_698,-0.006966371456083311
feature_242,0.006943882199058481
feature_999,-0.00692918782210739
feature_364,-0.006743708469310284
feature_556,0.006740924704206832
feature_609,-0.006728532392121493
feature_182,0.0066531106994200005
feature_362,-0.0066529616921723825
feature_825,-0.006613906662988547
feature_694,-0.006597093731923721
feature_246,-0.006588302172512743
feature_747,-0.006573212180192353
SS3_C,-0.006565715909375915
feature_1009,-0.006470393332010602
feature_780,-0.006428746484374304
feature_852,-0.006334604868049651
feature_236,0.006239725537441112
feature_894,-0.006217514769991547
feature_98,0.006128163401963459
feature_783,-0.006074472171744014
feature_390,0.0059470620057014865
S,-0.005897343663025879
feature_65,-0.005891714938429764
feature_787,-0.005671387603356241
feature_620,-0.0056409102800954345
feature_357,-0.0056335643511307544
feature_771,0.005584544039866584
feature_614,-0.00553574676487484
feature_208,-0.005531852653891415
feature_189,0.005428506915721363
feature_420,0.00537956259190637
feature_584,-0.005319486521445931
feature_87,-0.005191559784718262
feature_967,0.005176292335380119
feature_240,-0.005168074430816948
SS8_G,-0.005150674763916568
feature_276,0.005110020369357729
feature_658,-0.005080357492648639
feature_160,-0.0050529566690117106
feature_637,-0.005021811677372022
feature_627,0.005014256755613232
feature_692,-0.005013139450281652
feature_327,-0.004887672504667059
ASA,-0.00486866699185717
feature_510,-0.004832230350564229
feature_691,-0.004817480310968303
feature_479,0.004787612148290679
feature_733,-0.004757885534672374
feature_1010,-0.004648292509520969
feature_527,-0.004641533464546611
feature_921,-0.004522459224807819
feature_1008,-0.004447298614004955
feature_920,-0.00436636184158464
feature_726,0.004326023298714191
feature_1022,-0.004197887650687204
feature_290,0.004170728298744631
feature_275,0.004163793081273539
feature_644,-0.004151703389899586
feature_505,0.004101744849835271
feature_514,-0.003944925016689232
feature_766,0.003934454894700264
feature_68,0.003933811408942566
feature_389,-0.0038965398576296115
feature_958,-0.0038590883348334827
feature_428,0.0038418005760869427
feature_589,0.0038410411888123316
feature_168,-0.0038337576001524444
feature_714,-0.003824709715777929
feature_196,-0.003809375141994164
feature_846,0.003804182389613221
feature_457,0.0037992211504695545
feature_74,0.003786353928244538
feature_411,0.003779785417540782
feature_370,-0.003776993461318587
feature_547,0.0037346620796828655
feature_782,0.003730355488248438
feature_36,0.0037179740606506405
feature_222,-0.0036837311950765938
feature_412,0.003671086744514691
feature_184,0.0036534739148093515
feature_621,0.0035114036331207617
feature_353,-0.0035095075042242594
feature_154,-0.0034976069738505374
feature_47,0.0034896345173489217
feature_767,0.003487932394596792
feature_677,0.003476051646809776
feature_501,0.003468877779104565
feature_312,0.0034555321698916132
feature_414,0.003453939230660931
feature_307,-0.0033974600720336826
feature_492,0.003303347933810438
feature_63,-0.0033023820946341278
feature_354,0.0032635358988838264
feature_974,0.0032411210112213346
feature_260,-0.0032027819602170942
feature_396,-0.0031933351989413598
feature_924,0.0031756104860359317
feature_642,-0.003174893000601868
feature_926,0.0031618584832751235
feature_778,-0.0031481482733656647
feature_996,0.0031271638606468074
feature_918,-0.003118335577516147
feature_355,0.003088127292661475
feature_271,0.003044274171955446
feature_983,-0.0030273190215161284
feature_92,-0.003027216189571116
feature_769,-0.0030268204293860852
feature_300,0.003003938520371202
feature_520,0.0029787608083092906
feature_892,0.0029669513196267927
feature_534,0.002938383674083863
feature_342,-0.0029250836417573003
feature_522,0.0029228343748729617
feature_805,0.002918308585385061
feature_907,0.0029107837310715936
feature_509,0.002910733572560781
feature_71,0.002909562929281059
feature_237,-0.002869933663405532
feature_69,0.0028634270185152093
feature_126,-0.00286265985300158
feature_209,0.0028606941478368105
feature_558,-0.002859792959068585
feature_977,-0.0028593053925281857
feature_881,-0.002818310513954869
feature_349,-0.0027841500856495226
feature_319,0.002767551667230567
feature_819,0.0027456000652054608
feature_284,-0.002743652143105819
feature_764,0.0027178676600093372
feature_572,-0.0027161694163620755
Y,-0.002711796818925864
feature_350,0.0026863619226380905
feature_695,-0.002684973044717619
feature_804,-0.002619996004683485
feature_244,-0.0026159505816089256
feature_772,-0.002607494581464468
feature_524,-0.002601922511186614
feature_326,-0.002580260441131867
feature_345,-0.0025600204751775935
feature_103,0.0025516562220489905
feature_145,0.0025389820839239667
feature_48,0.002527199542678767
feature_721,0.0025225523640926813
feature_596,-0.0025100215724544435
feature_272,0.002469327701685983
