Feature,PosCount,NegCount,TotalCount,DominantCount
feature_199,0,10,10,10
feature_471,0,10,10,10
feature_811,0,8,8,8
C,0,7,7,7
feature_259,6,0,6,6
feature_403,0,6,6,6
feature_484,6,0,6,6
feature_710,0,5,5,5
H,0,4,4,4
feature_231,4,0,4,4
feature_322,4,0,4,4
feature_94,4,0,4,4
feature_241,0,3,3,3
feature_493,0,3,3,3
feature_150,2,0,2,2
feature_232,0,2,2,2
feature_489,2,0,2,2
feature_586,0,2,2,2
feature_751,2,0,2,2
feature_948,0,2,2,2
F,0,1,1,1
V,1,0,1,1
feature_1014,0,1,1,1
feature_278,1,0,1,1
feature_44,1,0,1,1
feature_717,1,0,1,1
feature_913,1,0,1,1
feature_950,1,0,1,1
