Index,Feature,CorrSign,MeanAbsSHAP,DirectionalEffect
1,C,-1.0,0.21955987767277946,-0.21955987767277946
15,S,-1.0,0.20080464636482134,-0.20080464636482134
6,H,-1.0,0.19201757832158795,-0.19201757832158795
18,W,-1.0,0.18374756847551113,-0.18374756847551113
26,SS8_I,1.0,0.110262518674207,0.110262518674207
4,F,-1.0,0.09335042776254282,-0.09335042776254282
10,M,1.0,0.09042954714459987,0.09042954714459987
19,Y,-1.0,0.08797805028789146,-0.08797805028789146
28,SS8_T,-1.0,0.0831654412735973,-0.0831654412735973
0,A,1.0,0.07529179188485527,0.07529179188485527
17,V,1.0,0.07486611098999461,0.07486611098999461
5,G,1.0,0.07186229157100675,0.07186229157100675
9,L,-1.0,0.05317893100083623,-0.05317893100083623
23,SS8_H,-1.0,0.051567065364359115,-0.051567065364359115
21,SS3_E,1.0,0.04806651080302829,0.04806651080302829
14,R,-1.0,0.04265567400312207,-0.04265567400312207
22,SS3_C,-1.0,0.04239491941640249,-0.04239491941640249
24,SS8_E,-1.0,0.03841805643432032,-0.03841805643432032
7,I,1.0,0.03352404634374724,0.03352404634374724
2,D,1.0,0.032985026161292674,0.032985026161292674
3,E,1.0,0.031642231591051805,0.031642231591051805
32,GRAVY,-1.0,0.028654266116001276,-0.028654266116001276
25,SS8_G,1.0,0.023525898637796343,0.023525898637796343
31,ASA,-1.0,0.022722152516346884,-0.022722152516346884
8,K,-1.0,0.019594183567478184,-0.019594183567478184
29,SS8_S,-1.0,0.014694636370382685,-0.014694636370382685
33,AROM,-1.0,0.014065238777470046,-0.014065238777470046
12,P,-1.0,0.013432799031246884,-0.013432799031246884
30,SS8_-,1.0,0.013396914517141204,0.013396914517141204
27,SS8_B,1.0,0.008935587826749473,0.008935587826749473
20,SS3_H,-1.0,0.0076107198132224245,-0.0076107198132224245
16,T,-1.0,0.0075247185822993,-0.0075247185822993
13,Q,-1.0,0.007246104505402598,-0.007246104505402598
11,N,1.0,0.006589694201283933,0.006589694201283933
