Feature,DirectionalMean_across_runs
C,-0.22698404604453656
S,-0.2169461984916964
H,-0.20028835885232904
W,-0.19255500357626648
F,-0.09788604022203833
V,0.09476031675344976
M,0.08205067195575198
Y,-0.07918384153597477
A,0.07514060958399114
G,0.07307462811919081
SS8_T,-0.07231384100530464
SS8_I,0.06722787322736992
D,0.05856006532008027
L,-0.056902621963405085
SS8_H,-0.04458371773815997
E,0.039075179312957606
R,-0.03806617063460137
SS3_C,-0.03784847301108843
ASA,-0.028560213747821066
GRAVY,-0.02790449993107803
I,0.027895636501569808
SS3_E,0.026364068810432982
SS8_E,-0.023809406397015103
P,-0.022200005977505093
SS8_G,-0.020947383421203072
SS8_B,0.014049840347077847
T,0.013460677750992415
AROM,-0.013343286816071673
SS8_S,-0.01286972053090343
N,0.012278583403102976
Q,0.008099289973850034
SS3_H,-0.007232542639491168
SS8_-,0.006224924713897935
K,0.004615518494280793
