Index,Feature,CorrSign,MeanAbsSHAP,DirectionalEffect
32,GRAVY,1.0,0.8439594387135523,0.8439594387135523
26,SS8_I,1.0,0.52082887930262,0.52082887930262
28,SS8_T,-1.0,0.4107084798555936,-0.4107084798555936
18,W,1.0,0.2908358522967971,0.2908358522967971
22,SS3_C,-1.0,0.21136751840112933,-0.21136751840112933
31,ASA,1.0,0.1997898775876481,0.1997898775876481
33,AROM,1.0,0.1958361012876327,0.1958361012876327
23,SS8_H,1.0,0.17684362120159544,0.17684362120159544
7,I,1.0,0.169073834792904,0.169073834792904
30,SS8_-,-1.0,0.1535106473509954,-0.1535106473509954
5,G,1.0,0.15301922135769036,0.15301922135769036
8,K,-1.0,0.15071013163760713,-0.15071013163760713
25,SS8_G,-1.0,0.15068077897108417,-0.15068077897108417
9,L,1.0,0.14698098534976317,0.14698098534976317
20,SS3_H,1.0,0.1015177562024159,0.1015177562024159
15,S,-1.0,0.07984530866936586,-0.07984530866936586
4,F,1.0,0.07974946088504722,0.07974946088504722
12,P,1.0,0.077697655365723,0.077697655365723
27,SS8_B,1.0,0.07215045934513949,0.07215045934513949
10,M,1.0,0.0594501775203439,0.0594501775203439
29,SS8_S,-1.0,0.05680980072665789,-0.05680980072665789
3,E,-1.0,0.05126911963002428,-0.05126911963002428
1,C,-1.0,0.04975915795180095,-0.04975915795180095
2,D,1.0,0.04316888067713251,0.04316888067713251
16,T,-1.0,0.04265595021125622,-0.04265595021125622
13,Q,-1.0,0.040680949807145324,-0.040680949807145324
24,SS8_E,-1.0,0.03570925915889582,-0.03570925915889582
19,Y,1.0,0.03208728221806212,0.03208728221806212
14,R,1.0,0.029639515460067094,0.029639515460067094
6,H,1.0,0.028302111252257674,0.028302111252257674
17,V,1.0,0.021931101692241786,0.021931101692241786
0,A,-1.0,0.016150651104053424,-0.016150651104053424
11,N,-1.0,0.014576727857267921,-0.014576727857267921
21,SS3_E,1.0,0.003800466509606546,0.003800466509606546
