Feature,DirectionalMean_across_runs
GRAVY,0.9634406922490839
SS8_I,0.623403406708836
W,0.25114763205698304
SS8_T,-0.23263055695938722
ASA,0.200911078517679
I,0.1861655863764286
AROM,0.17581428845632546
SS8_-,-0.16174064279450473
SS3_H,0.16016504754245797
SS8_H,0.14687305224557468
F,0.1390807331463522
K,-0.13703000825382997
V,0.13054737812644537
G,0.1286307772547995
L,0.12335456796274931
SS8_G,-0.10962546126497144
SS3_C,-0.09137975827172559
C,-0.08153315732879475
P,0.07533060660771876
S,-0.0657900082795769
D,-0.059679274945205175
SS8_S,-0.05872884304731548
M,0.050648079387382236
N,-0.04784176693222221
Q,-0.04303972399656586
SS3_E,-0.033349706619192634
SS8_B,0.03283042311216994
T,0.029572253046400192
R,0.028796978167104505
A,-0.021727856546261925
Y,0.02061884213568404
E,-0.01994443345180178
SS8_E,-0.00682083508455848
H,0.006798722086075744
