Feature,PosCount,NegCount,TotalCount,DominantCount
GRAVY,10,0,10,10
SS3_C,0,10,10,10
SS8_I,10,0,10,10
feature_248,0,10,10,10
feature_325,0,10,10,10
feature_974,0,9,9,9
feature_309,0,7,7,7
feature_278,6,0,6,6
feature_538,0,6,6,6
feature_102,5,0,5,5
feature_157,3,0,3,3
feature_116,1,0,1,1
feature_171,1,0,1,1
feature_189,0,1,1,1
feature_220,1,0,1,1
feature_317,0,1,1,1
feature_330,0,1,1,1
feature_355,0,1,1,1
feature_503,0,1,1,1
feature_514,0,1,1,1
feature_657,0,1,1,1
feature_725,0,1,1,1
feature_731,1,0,1,1
feature_795,1,0,1,1
feature_823,1,0,1,1
