Index,Feature,CorrSign,MeanAbsSHAP,DirectionalEffect
32,GRAVY,1.0,0.9593709372531036,0.9593709372531036
26,SS8_I,1.0,0.6603265997476103,0.6603265997476103
22,SS3_C,-1.0,0.5670641028725092,-0.5670641028725092
12,P,1.0,0.46146126226937884,0.46146126226937884
33,AROM,1.0,0.3504113883471518,0.3504113883471518
13,Q,-1.0,0.16573957449576993,-0.16573957449576993
9,L,1.0,0.12180268783603206,0.12180268783603206
27,SS8_B,1.0,0.11191028775104316,0.11191028775104316
2,D,-1.0,0.10984080863755677,-0.10984080863755677
8,K,-1.0,0.10218287909331171,-0.10218287909331171
0,A,-1.0,0.09662521429873992,-0.09662521429873992
23,SS8_H,1.0,0.09589009743975077,0.09589009743975077
19,Y,-1.0,0.07545265700097571,-0.07545265700097571
24,SS8_E,-1.0,0.07128946185941903,-0.07128946185941903
5,G,-1.0,0.06584430289225172,-0.06584430289225172
20,SS3_H,1.0,0.06509362482103527,0.06509362482103527
10,M,-1.0,0.06056825360707974,-0.06056825360707974
7,I,-1.0,0.058174356569296586,-0.058174356569296586
30,SS8_-,-1.0,0.05375598419345674,-0.05375598419345674
15,S,-1.0,0.04414201258298885,-0.04414201258298885
16,T,-1.0,0.04374849565808911,-0.04374849565808911
31,ASA,1.0,0.043251630914839904,0.043251630914839904
11,N,-1.0,0.035199409585651244,-0.035199409585651244
18,W,1.0,0.034677797945651324,0.034677797945651324
28,SS8_T,-1.0,0.026166198079088807,-0.026166198079088807
21,SS3_E,-1.0,0.018102589301417275,-0.018102589301417275
1,C,-1.0,0.017100095487226304,-0.017100095487226304
29,SS8_S,-1.0,0.016060024935107328,-0.016060024935107328
6,H,1.0,0.015125057211267527,0.015125057211267527
4,F,1.0,0.013826372467216174,0.013826372467216174
14,R,1.0,0.01122300094235804,0.01122300094235804
3,E,1.0,0.00881676005739145,0.00881676005739145
17,V,1.0,0.007548381332354017,0.007548381332354017
25,SS8_G,1.0,0.00291961620488802,0.00291961620488802
