Feature,DirectionalMean_across_runs
GRAVY,0.8636754159428698
SS3_C,-0.5498855225936545
SS8_I,0.5025411917157965
P,0.46685453936696897
AROM,0.3197866021716623
K,-0.13250255635919955
A,-0.11801593437118849
Q,-0.11686674911395716
SS3_H,0.11463308694599594
L,0.09903197935081488
D,-0.09844581329854477
C,-0.08993709154944599
SS8_H,0.08901102352430021
M,-0.0864802163289321
S,-0.08517945649598245
SS8_B,0.056400598106768764
R,-0.04938783473030785
ASA,0.04609472144383056
SS8_E,-0.04423902943994299
SS3_E,-0.04105807557212915
G,-0.040503584965759856
Y,-0.036820639856490686
I,0.036195397366045726
SS8_-,-0.03324651485005582
E,-0.029921573716075723
H,-0.02716201499324375
W,-0.02588300484584587
N,-0.023684806445136743
F,-0.012030543194793427
T,-0.01103359603778228
SS8_T,-0.009535803831280141
V,0.008504974447989106
SS8_G,0.006867561089748317
SS8_S,0.005591191466051364
